,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,218868,80,20,110.0,440.0,64,PhISCS_I_,3.1312408447265625,1.0,simNo_1-s_10-m_20-n_80.SC.ground,1.4741227626800537,356,246,1244,1354,10,1,optimality,,,,
1,218868,80,20,110.0,440.0,64,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.014361619949341,1.0,simNo_1-s_10-m_20-n_80.SC.ground,2.7069008350372314,356,246,1244,1354,10,1,optimality,0.041644628231342025,1.652092456817627,65,2.810905694961548
2,1633713,80,20,110.0,440.0,37,PhISCS_I_,2.9748947620391846,1.0,simNo_2-s_10-m_20-n_80.SC.ground,1.3206181526184082,224,114,1376,1486,10,2,optimality,,,,
3,1633713,80,20,110.0,440.0,37,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.415540933609009,1.0,simNo_2-s_10-m_20-n_80.SC.ground,2.0987932682037354,224,114,1376,1486,10,2,optimality,0.05523140179483514,1.651031732559204,38,2.460444688796997
4,2792941,80,20,110.0,440.0,67,PhISCS_I_,3.9463820457458496,1.0,simNo_3-s_10-m_20-n_80.SC.ground,2.2963759899139404,322,212,1278,1388,10,3,optimality,,,,
5,2792941,80,20,110.0,440.0,67,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,7.087137222290039,1.0,simNo_3-s_10-m_20-n_80.SC.ground,4.755214691162109,322,212,1278,1388,10,3,optimality,0.06513992727619328,1.7332439422607422,73,4.7863078117370605
6,3173920,80,20,110.0,440.0,76,PhISCS_I_,3.680041551589966,1.0,simNo_4-s_10-m_20-n_80.SC.ground,2.010904550552368,393,283,1207,1317,10,4,optimality,,,,
7,3173920,80,20,110.0,440.0,76,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,6.926044702529907,1.0,simNo_4-s_10-m_20-n_80.SC.ground,4.628267288208008,393,283,1207,1317,10,4,optimality,0.060107367379324775,1.7027077674865723,77,4.582859992980957
8,3013254,80,20,110.0,440.0,24,PhISCS_I_,2.8898234367370605,1.0,simNo_5-s_10-m_20-n_80.SC.ground,1.3078083992004395,197,87,1403,1513,10,5,optimality,,,,
9,3013254,80,20,110.0,440.0,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.6558244228363037,1.0,simNo_5-s_10-m_20-n_80.SC.ground,1.337165117263794,197,87,1403,1513,10,5,optimality,0.053486604690551755,1.5865297317504883,25,1.8817052841186523
10,3567662,80,20,110.0,440.0,65,PhISCS_I_,11.185265302658081,1.0,simNo_6-s_10-m_20-n_80.SC.ground,9.588485956192017,296,186,1304,1414,10,6,optimality,,,,
11,3567662,80,20,110.0,440.0,65,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,442.457270860672,1.0,simNo_6-s_10-m_20-n_80.SC.ground,440.0627865791321,296,186,1304,1414,10,6,time_limit,0.03100780626966827,8.50515866279602,14192,375.44878673553467
12,3275811,80,20,110.0,440.0,84,PhISCS_I_,3.76778244972229,1.0,simNo_7-s_10-m_20-n_80.SC.ground,2.1488187313079834,381,271,1219,1329,10,7,optimality,,,,
13,3275811,80,20,110.0,440.0,84,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,7.765042304992676,1.0,simNo_7-s_10-m_20-n_80.SC.ground,5.458755731582642,381,271,1219,1329,10,7,optimality,0.06422065566567814,1.7321796417236328,85,5.282307147979736
14,4784656,80,20,110.0,440.0,68,PhISCS_I_,3.057736396789551,1.0,simNo_8-s_10-m_20-n_80.SC.ground,1.3431627750396729,340,230,1260,1370,10,8,optimality,,,,
15,4784656,80,20,110.0,440.0,68,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,6.319061994552612,1.0,simNo_8-s_10-m_20-n_80.SC.ground,4.000929355621338,340,230,1260,1370,10,8,optimality,0.057984483414802,1.734908103942871,69,3.995100736618042
16,3699304,80,20,110.0,440.0,63,PhISCS_I_,3.040858030319214,1.0,simNo_9-s_10-m_20-n_80.SC.ground,1.4330644607543945,289,179,1311,1421,10,9,optimality,,,,
17,3699304,80,20,110.0,440.0,63,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.64562726020813,1.0,simNo_9-s_10-m_20-n_80.SC.ground,3.3586158752441406,289,179,1311,1421,10,9,optimality,0.0524783730506897,1.687119483947754,64,3.4423866271972656
18,38602,80,20,110.0,440.0,66,PhISCS_I_,2.888200044631958,1.0,simNo_10-s_10-m_20-n_80.SC.ground,1.2633898258209229,276,166,1324,1434,10,10,optimality,,,,
19,38602,80,20,110.0,440.0,66,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.546137571334839,1.0,simNo_10-s_10-m_20-n_80.SC.ground,3.293198585510254,276,166,1324,1434,10,10,optimality,0.0491522176941829,1.6119410991668701,67,3.398747205734253
20,1329041,80,20,110.0,440.0,47,PhISCS_I_,3.873461961746216,1.0,simNo_11-s_10-m_20-n_80.SC.ground,2.193962812423706,303,193,1297,1407,10,11,optimality,,,,
21,1329041,80,20,110.0,440.0,47,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.036351919174194,1.0,simNo_11-s_10-m_20-n_80.SC.ground,2.7234270572662354,303,193,1297,1407,10,11,optimality,0.04126404632221569,1.6046905517578125,66,3.0276520252227783
22,7798433,80,20,110.0,440.0,59,PhISCS_I_,3.6361162662506104,1.0,simNo_12-s_10-m_20-n_80.SC.ground,1.8508038520812988,275,165,1325,1435,10,12,optimality,,,,
23,7798433,80,20,110.0,440.0,59,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.396930932998657,1.0,simNo_12-s_10-m_20-n_80.SC.ground,3.1297850608825684,275,165,1325,1435,10,12,optimality,0.05216308434804281,1.6159703731536865,60,3.2870872020721436
24,3816511,80,20,110.0,440.0,79,PhISCS_I_,3.0679407119750977,1.0,simNo_13-s_10-m_20-n_80.SC.ground,1.4143099784851074,472,362,1128,1238,10,13,optimality,,,,
25,3816511,80,20,110.0,440.0,79,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,6.325294733047485,1.0,simNo_13-s_10-m_20-n_80.SC.ground,4.04817533493042,472,362,1128,1238,10,13,optimality,0.05060219168663025,1.6999170780181885,80,3.984499216079712
26,9966659,80,20,110.0,440.0,45,PhISCS_I_,2.7860107421875,1.0,simNo_14-s_10-m_20-n_80.SC.ground,1.2314231395721436,266,156,1334,1444,10,14,optimality,,,,
27,9966659,80,20,110.0,440.0,45,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.521783351898193,1.0,simNo_14-s_10-m_20-n_80.SC.ground,2.200439453125,266,156,1334,1444,10,14,optimality,0.04783564028532609,1.6732323169708252,46,2.4790992736816406
28,9915749,80,20,110.0,440.0,54,PhISCS_I_,3.241135597229004,1.0,simNo_15-s_10-m_20-n_80.SC.ground,1.6442046165466309,269,159,1331,1441,10,15,optimality,,,,
29,9915749,80,20,110.0,440.0,54,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.1153669357299805,1.0,simNo_15-s_10-m_20-n_80.SC.ground,2.8622281551361084,269,159,1331,1441,10,15,optimality,0.052040511911565605,1.6186811923980713,55,3.0468616485595703
30,4489079,80,20,110.0,440.0,82,PhISCS_I_,3.4684219360351562,1.0,simNo_16-s_10-m_20-n_80.SC.ground,1.9254465103149414,399,289,1201,1311,10,16,optimality,,,,
31,4489079,80,20,110.0,440.0,82,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,7.5186097621917725,1.0,simNo_16-s_10-m_20-n_80.SC.ground,5.3395702838897705,399,289,1201,1311,10,16,optimality,0.06433217209505748,1.6613669395446777,83,5.180720090866089
32,7300021,80,20,110.0,440.0,67,PhISCS_I_,2.8247230052948,1.0,simNo_17-s_10-m_20-n_80.SC.ground,1.2983930110931396,327,217,1273,1383,10,17,optimality,,,,
33,7300021,80,20,110.0,440.0,67,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.983958721160889,1.0,simNo_17-s_10-m_20-n_80.SC.ground,2.7702159881591797,327,217,1273,1383,10,17,optimality,0.04073847041410558,1.6478362083435059,68,2.78885555267334
34,9619388,80,20,110.0,440.0,59,PhISCS_I_,2.7961177825927734,1.0,simNo_18-s_10-m_20-n_80.SC.ground,1.2693650722503662,307,197,1293,1403,10,18,optimality,,,,
35,9619388,80,20,110.0,440.0,59,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,5.029436111450195,1.0,simNo_18-s_10-m_20-n_80.SC.ground,2.7581260204315186,307,197,1293,1403,10,18,optimality,0.04596876700719198,1.6357722282409668,60,2.918745517730713
36,5075090,80,20,110.0,440.0,46,PhISCS_I_,2.9492318630218506,1.0,simNo_19-s_10-m_20-n_80.SC.ground,1.2900855541229248,258,148,1342,1452,10,19,optimality,,,,
37,5075090,80,20,110.0,440.0,46,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.9480531215667725,1.0,simNo_19-s_10-m_20-n_80.SC.ground,2.6140902042388916,258,148,1342,1452,10,19,optimality,0.055618940515721096,1.6732184886932373,47,2.896620988845825
38,4383132,80,20,110.0,440.0,75,PhISCS_I_,3.9460761547088623,1.0,simNo_20-s_10-m_20-n_80.SC.ground,2.356921434402466,328,218,1272,1382,10,20,optimality,,,,
39,4383132,80,20,110.0,440.0,75,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,8.045316696166992,1.0,simNo_20-s_10-m_20-n_80.SC.ground,5.8254125118255615,328,218,1272,1382,10,20,optimality,0.05495672180967511,1.715545415878296,106,5.637239933013916
40,8513061,80,20,110.0,440.0,83,PhISCS_I_,9.518782615661621,1.0,simNo_21-s_10-m_20-n_80.SC.ground,7.938928604125977,443,333,1157,1267,10,21,optimality,,,,
41,8513061,80,20,110.0,440.0,83,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,32.02394199371338,1.0,simNo_21-s_10-m_20-n_80.SC.ground,29.645222187042236,443,333,1157,1267,10,21,optimality,0.05137820136402467,2.1395304203033447,577,26.81103014945984
42,8495253,80,20,110.0,440.0,55,PhISCS_I_,5.5171027183532715,1.0,simNo_22-s_10-m_20-n_80.SC.ground,3.793999671936035,256,146,1344,1454,10,22,optimality,,,,
43,8495253,80,20,110.0,440.0,55,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,10.777734518051147,1.0,simNo_22-s_10-m_20-n_80.SC.ground,8.540112495422363,256,146,1344,1454,10,22,optimality,0.06519169843833865,1.6371877193450928,131,8.174772262573242
44,5830036,80,20,110.0,440.0,67,PhISCS_I_,3.1070218086242676,1.0,simNo_23-s_10-m_20-n_80.SC.ground,1.3619937896728516,261,151,1339,1449,10,23,optimality,,,,
45,5830036,80,20,110.0,440.0,67,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,6.794405937194824,1.0,simNo_23-s_10-m_20-n_80.SC.ground,4.527341604232788,261,151,1339,1449,10,23,optimality,0.06657855300342336,1.6320700645446777,68,4.597846508026123
