,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,4413235,40,20,40.0,113.0,20,PhISCS_I_,1.4660096168518066,1.0,simNo_1-s_10-m_20-n_40.SC.ground,0.5735306739807129,161,121,639,679,10,1,optimality,,,,
1,4413235,40,20,40.0,113.0,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7028560638427734,1.0,simNo_1-s_10-m_20-n_40.SC.ground,0.538233757019043,161,121,639,679,10,1,optimality,0.025630178905668714,0.8510973453521729,21,0.7307677268981934
2,3849259,40,20,40.0,113.0,15,PhISCS_I_,1.8646275997161865,1.0,simNo_2-s_10-m_20-n_40.SC.ground,0.9020256996154785,122,82,678,718,10,2,optimality,,,,
3,3849259,40,20,40.0,113.0,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7244751453399658,1.0,simNo_2-s_10-m_20-n_40.SC.ground,0.5280365943908691,122,82,678,718,10,2,optimality,0.03300228714942932,0.9150819778442383,16,0.7239561080932617
4,1548130,40,20,40.0,113.0,22,PhISCS_I_,1.8096776008605957,1.0,simNo_3-s_10-m_20-n_40.SC.ground,0.8773012161254883,164,124,636,676,10,3,optimality,,,,
5,1548130,40,20,40.0,113.0,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,2.0103368759155273,1.0,simNo_3-s_10-m_20-n_40.SC.ground,0.7225351333618164,164,124,636,676,10,3,optimality,0.03141457101573115,1.0316267013549805,23,0.8593218326568604
6,1335100,40,20,40.0,113.0,19,PhISCS_I_,1.6140120029449463,1.0,simNo_4-s_10-m_20-n_40.SC.ground,0.6817026138305664,158,118,642,682,10,4,optimality,,,,
7,1335100,40,20,40.0,113.0,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7833869457244873,1.0,simNo_4-s_10-m_20-n_40.SC.ground,0.6155359745025635,158,118,642,682,10,4,optimality,0.030776798725128174,0.9247748851776123,20,0.7603578567504883
8,7015810,40,20,40.0,113.0,5,PhISCS_I_,1.3887913227081299,1.0,simNo_5-s_10-m_20-n_40.SC.ground,0.48444032669067383,94,54,706,746,10,5,optimality,,,,
9,7015810,40,20,40.0,113.0,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.2594590187072754,1.0,simNo_5-s_10-m_20-n_40.SC.ground,0.08947563171386719,94,54,706,746,10,5,optimality,0.014912605285644531,0.8921997547149658,6,0.33744263648986816
10,4858612,40,20,40.0,113.0,18,PhISCS_I_,1.36360764503479,1.0,simNo_6-s_10-m_20-n_40.SC.ground,0.4530801773071289,161,121,639,679,10,6,optimality,,,,
11,4858612,40,20,40.0,113.0,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.6401565074920654,1.0,simNo_6-s_10-m_20-n_40.SC.ground,0.4260258674621582,161,121,639,679,10,6,optimality,0.022422414076955693,0.9317154884338379,19,0.6051509380340576
12,6401400,40,20,40.0,113.0,19,PhISCS_I_,1.4769911766052246,1.0,simNo_7-s_10-m_20-n_40.SC.ground,0.54984450340271,193,153,607,647,10,7,optimality,,,,
13,6401400,40,20,40.0,113.0,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7465498447418213,1.0,simNo_7-s_10-m_20-n_40.SC.ground,0.5416021347045898,193,153,607,647,10,7,optimality,0.02708010673522949,0.9378960132598877,20,0.6997244358062744
14,4349348,40,20,40.0,113.0,22,PhISCS_I_,1.4058897495269775,1.0,simNo_8-s_10-m_20-n_40.SC.ground,0.49788331985473633,191,151,609,649,10,8,optimality,,,,
15,4349348,40,20,40.0,113.0,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.8611748218536377,1.0,simNo_8-s_10-m_20-n_40.SC.ground,0.7195110321044922,191,151,609,649,10,8,optimality,0.031283088352369225,0.8840372562408447,23,0.8569917678833008
16,2789454,40,20,40.0,113.0,16,PhISCS_I_,1.356795072555542,1.0,simNo_9-s_10-m_20-n_40.SC.ground,0.4582223892211914,157,117,643,683,10,9,optimality,,,,
17,2789454,40,20,40.0,113.0,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.6318244934082031,1.0,simNo_9-s_10-m_20-n_40.SC.ground,0.45384669303894043,157,117,643,683,10,9,optimality,0.02669686429640826,0.9124293327331543,17,0.6329011917114258
18,7382876,40,20,40.0,113.0,21,PhISCS_I_,1.4135215282440186,1.0,simNo_10-s_10-m_20-n_40.SC.ground,0.5011131763458252,157,117,643,683,10,10,optimality,,,,
19,7382876,40,20,40.0,113.0,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7243878841400146,1.0,simNo_10-s_10-m_20-n_40.SC.ground,0.5285162925720215,157,117,643,683,10,10,optimality,0.024023467844182796,0.9015288352966309,22,0.7098102569580078
