,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,6398368,80,80,170.0,1360.0,128,PhISCS_I_,851.0849878787994,1.0,simNo_1-s_10-m_80-n_80.SC.ground,825.0045931339264,1269,1099,5131,5301,10,1,optimality,,,,
1,6398368,80,80,170.0,1360.0,132,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1405.1621551513672,1.0,simNo_1-s_10-m_80-n_80.SC.ground,1360.1860632896423,1269,1099,5131,5301,10,1,time_limit,0.8581615541259573,28.811381816864014,1585,1356.0291783809662
2,212323,80,80,170.0,1360.0,135,PhISCS_I_,956.8878915309906,1.0,simNo_2-s_10-m_80-n_80.SC.ground,929.6992702484131,1464,1294,4936,5106,10,2,optimality,,,,
3,212323,80,80,170.0,1360.0,136,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1408.9255330562592,1.0,simNo_2-s_10-m_80-n_80.SC.ground,1361.6541993618011,1464,1294,4936,5106,10,2,time_limit,1.0823960249298896,31.052227020263672,1258,1359.9875273704529
4,6418674,80,80,170.0,1360.0,127,PhISCS_I_,637.6711292266846,1.0,simNo_3-s_10-m_80-n_80.SC.ground,610.8501243591309,978,808,5422,5592,10,3,optimality,,,,
5,6418674,80,80,170.0,1360.0,129,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1407.9954056739807,1.0,simNo_3-s_10-m_80-n_80.SC.ground,1362.5553278923035,978,808,5422,5592,10,3,time_limit,1.0909169959105713,28.081456899642944,1249,1362.6148602962494
6,5358774,80,80,170.0,1360.0,127,PhISCS_I_,775.0134017467499,1.0,simNo_4-s_10-m_80-n_80.SC.ground,748.1743280887604,1062,892,5338,5508,10,4,optimality,,,,
7,5358774,80,80,170.0,1360.0,128,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1409.4865305423737,1.0,simNo_4-s_10-m_80-n_80.SC.ground,1360.5888061523438,1062,892,5338,5508,10,4,time_limit,0.8721723116361177,29.734407663345337,1560,1361.1266252994537
8,3399813,80,80,170.0,1360.0,120,PhISCS_I_,1089.5596415996552,1.0,simNo_5-s_10-m_80-n_80.SC.ground,1063.6187362670898,923,753,5477,5647,10,5,optimality,,,,
9,3399813,80,80,170.0,1360.0,126,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1408.4706327915192,1.0,simNo_5-s_10-m_80-n_80.SC.ground,1360.8938410282135,923,753,5477,5647,10,5,time_limit,1.126567749195541,29.51968765258789,1208,1363.1676788330078
