,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,648807,80,20,30.0,120.0,17,PhISCS_I_,3.6295864582061768,1.0,simNo_1-s_10-m_20-n_80.SC.ground,1.7980120182037354,356,326,1244,1274,10,1,optimality,,,,
1,648807,80,20,30.0,120.0,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.038907289505005,1.0,simNo_1-s_10-m_20-n_80.SC.ground,1.4065065383911133,356,326,1244,1274,10,1,optimality,0.07813925213283962,1.8377602100372314,18,2.0219433307647705
2,5641678,80,20,30.0,120.0,16,PhISCS_I_,3.2319600582122803,1.0,simNo_2-s_10-m_20-n_80.SC.ground,1.4586942195892334,224,194,1376,1406,10,2,optimality,,,,
3,5641678,80,20,30.0,120.0,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.8497183322906494,1.0,simNo_2-s_10-m_20-n_80.SC.ground,1.2320146560668945,224,194,1376,1406,10,2,optimality,0.07247145035687615,1.8104150295257568,17,1.8937017917633057
4,6335653,80,20,30.0,120.0,22,PhISCS_I_,4.912104368209839,1.0,simNo_3-s_10-m_20-n_80.SC.ground,3.0736913681030273,322,292,1278,1308,10,3,optimality,,,,
5,6335653,80,20,30.0,120.0,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,4.165162801742554,1.0,simNo_3-s_10-m_20-n_80.SC.ground,1.6846530437469482,322,292,1278,1308,10,3,optimality,0.058091484267136145,1.7627105712890625,29,2.222773790359497
6,2220640,80,20,30.0,120.0,22,PhISCS_I_,3.8434641361236572,1.0,simNo_4-s_10-m_20-n_80.SC.ground,2.0595715045928955,393,363,1207,1237,10,4,optimality,,,,
7,2220640,80,20,30.0,120.0,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.9838707447052,1.0,simNo_4-s_10-m_20-n_80.SC.ground,1.6252803802490234,393,363,1207,1237,10,4,optimality,0.0706643643586532,1.6290950775146484,23,2.159976005554199
8,3363002,80,20,30.0,120.0,11,PhISCS_I_,3.094496250152588,1.0,simNo_5-s_10-m_20-n_80.SC.ground,1.4854986667633057,197,167,1403,1433,10,5,optimality,,,,
9,3363002,80,20,30.0,120.0,11,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.0727171897888184,1.0,simNo_5-s_10-m_20-n_80.SC.ground,0.6335961818695068,197,167,1403,1433,10,5,optimality,0.0527996818224589,1.6879608631134033,12,1.2875733375549316
10,8649825,80,20,30.0,120.0,15,PhISCS_I_,3.142078399658203,1.0,simNo_6-s_10-m_20-n_80.SC.ground,1.43440842628479,296,266,1304,1334,10,6,optimality,,,,
11,8649825,80,20,30.0,120.0,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.391611337661743,1.0,simNo_6-s_10-m_20-n_80.SC.ground,1.0655722618103027,296,266,1304,1334,10,6,optimality,0.06659826636314392,1.6368098258972168,16,1.623478889465332
12,3133250,80,20,30.0,120.0,20,PhISCS_I_,3.5603249073028564,1.0,simNo_7-s_10-m_20-n_80.SC.ground,1.79775071144104,381,351,1219,1249,10,7,optimality,,,,
13,3133250,80,20,30.0,120.0,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.670792818069458,1.0,simNo_7-s_10-m_20-n_80.SC.ground,1.389725685119629,381,351,1219,1249,10,7,optimality,0.06617741357712519,1.612212896347046,21,1.8802211284637451
14,8661927,80,20,30.0,120.0,16,PhISCS_I_,3.2002248764038086,1.0,simNo_8-s_10-m_20-n_80.SC.ground,1.5096499919891357,340,310,1260,1290,10,8,optimality,,,,
15,8661927,80,20,30.0,120.0,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.510249137878418,1.0,simNo_8-s_10-m_20-n_80.SC.ground,1.0816850662231445,340,310,1260,1290,10,8,optimality,0.0636285333072438,1.7479426860809326,17,1.623185157775879
16,9415465,80,20,30.0,120.0,15,PhISCS_I_,2.9516563415527344,1.0,simNo_9-s_10-m_20-n_80.SC.ground,1.3601775169372559,289,259,1311,1341,10,9,optimality,,,,
17,9415465,80,20,30.0,120.0,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.4171807765960693,1.0,simNo_9-s_10-m_20-n_80.SC.ground,1.0325899124145508,289,259,1311,1341,10,9,optimality,0.06453686952590942,1.6882562637329102,16,1.587235927581787
18,7805513,80,20,30.0,120.0,17,PhISCS_I_,3.4448459148406982,1.0,simNo_10-s_10-m_20-n_80.SC.ground,1.7336218357086182,276,246,1324,1354,10,10,optimality,,,,
19,7805513,80,20,30.0,120.0,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.303399085998535,1.0,simNo_10-s_10-m_20-n_80.SC.ground,1.0541348457336426,276,246,1324,1354,10,10,optimality,0.058563046985202365,1.5747101306915283,18,1.5847790241241455
20,1447640,80,20,30.0,120.0,17,PhISCS_I_,3.0462534427642822,1.0,simNo_11-s_10-m_20-n_80.SC.ground,1.3695292472839355,303,273,1297,1327,10,11,optimality,,,,
21,1447640,80,20,30.0,120.0,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.0701897144317627,1.0,simNo_11-s_10-m_20-n_80.SC.ground,0.8106086254119873,303,273,1297,1327,10,11,optimality,0.045033812522888184,1.6056435108184814,18,1.3239974975585938
22,4493614,80,20,30.0,120.0,16,PhISCS_I_,2.854279041290283,1.0,simNo_12-s_10-m_20-n_80.SC.ground,1.2110631465911865,275,245,1325,1355,10,12,optimality,,,,
