,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,8762059,40,20,260.0,735.0,18,PhISCS_I_,1.8367936611175537,1.0,simNo_57-s_10-m_20-n_40.SC.ground,0.7705950736999512,292,32,508,768,10,57,optimality,,,,
1,8762059,40,20,260.0,735.0,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.7542877197265625,1.0,simNo_57-s_10-m_20-n_40.SC.ground,0.5237901210784912,292,32,508,768,10,57,optimality,0.027567901109394274,0.9140100479125977,19,0.7300550937652588
2,9116473,40,20,260.0,735.0,20,PhISCS_I_,1.3463377952575684,1.0,simNo_89-s_10-m_20-n_40.SC.ground,0.4790074825286865,286,26,514,774,10,89,optimality,,,,
3,9116473,40,20,260.0,735.0,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.895977258682251,1.0,simNo_89-s_10-m_20-n_40.SC.ground,0.6095447540283203,286,26,514,774,10,89,optimality,0.029025940668015254,0.9623062610626221,21,0.8180789947509766
4,6244124,40,20,260.0,735.0,0,PhISCS_I_,1.4363975524902344,1.0,simNo_94-s_10-m_20-n_40.SC.ground,0.489166259765625,274,14,526,786,10,94,optimality,,,,
5,6244124,40,20,260.0,735.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.0105655193328857,1.0,simNo_94-s_10-m_20-n_40.SC.ground,0.0004680156707763672,274,14,526,786,10,94,optimality,0.0004680156707763672,0.7459938526153564,1,0.26256823539733887
6,1238567,40,20,260.0,735.0,0,PhISCS_I_,1.4314703941345215,1.0,simNo_96-s_10-m_20-n_40.SC.ground,0.52838134765625,269,9,531,791,10,96,optimality,,,,
7,1238567,40,20,260.0,735.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.125885009765625,1.0,simNo_96-s_10-m_20-n_40.SC.ground,0.0005125999450683594,269,9,531,791,10,96,optimality,0.0005125999450683594,0.8077125549316406,1,0.316159725189209
