,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,47378,20,20,120.0,240.0,2,PhISCS_I_,0.5880672931671143,1.0,simNo_27-s_10-m_20-n_20.SC.ground,0.1822681427001953,128,8,272,392,10,27,optimality,,,,
1,47378,20,20,120.0,240.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.4732246398925781,1.0,simNo_27-s_10-m_20-n_20.SC.ground,0.03258538246154785,128,8,272,392,10,27,optimality,0.010861794153849283,0.3346738815307617,3,0.12235116958618164
2,4142549,20,20,120.0,240.0,0,PhISCS_I_,0.594487190246582,1.0,simNo_37-s_10-m_20-n_20.SC.ground,0.18474364280700684,136,16,264,384,10,37,optimality,,,,
3,4142549,20,20,120.0,240.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.47261762619018555,1.0,simNo_37-s_10-m_20-n_20.SC.ground,0.000370025634765625,136,16,264,384,10,37,optimality,0.000370025634765625,0.3683009147644043,1,0.10289621353149414
4,196007,20,20,120.0,240.0,1,PhISCS_I_,0.6257731914520264,1.0,simNo_89-s_10-m_20-n_20.SC.ground,0.1883234977722168,130,10,270,390,10,89,optimality,,,,
5,196007,20,20,120.0,240.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.49007296562194824,1.0,simNo_89-s_10-m_20-n_20.SC.ground,0.010771512985229492,130,10,270,390,10,89,optimality,0.005385756492614746,0.38431549072265625,2,0.10015463829040527
6,7336798,20,20,120.0,240.0,0,PhISCS_I_,0.6133627891540527,1.0,simNo_96-s_10-m_20-n_20.SC.ground,0.17626190185546875,130,10,270,390,10,96,optimality,,,,
7,7336798,20,20,120.0,240.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.45740509033203125,1.0,simNo_96-s_10-m_20-n_20.SC.ground,0.0003674030303955078,130,10,270,390,10,96,optimality,0.0003674030303955078,0.3545877933502197,1,0.10146450996398926
8,5826659,20,20,120.0,240.0,14,PhISCS_I_,0.6419355869293213,1.0,simNo_99-s_10-m_20-n_20.SC.ground,0.1933434009552002,145,25,255,375,10,99,optimality,,,,
9,5826659,20,20,120.0,240.0,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.6935322284698486,1.0,simNo_99-s_10-m_20-n_20.SC.ground,0.168656587600708,145,25,255,375,10,99,optimality,0.011243772506713868,0.4226260185241699,15,0.22248148918151855
