,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,7955376,80,40,60.0,339.0,47,PhISCS_I_,14.623932361602783,1.0,simNo_1-s_10-m_40-n_80.SC.ground,7.3350489139556885,778,718,2422,2482,10,1,optimality,,,,
1,7955376,80,40,60.0,339.0,47,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,21.700135469436646,1.0,simNo_1-s_10-m_40-n_80.SC.ground,11.29365348815918,778,718,2422,2482,10,1,optimality,0.2352844476699829,6.730602979660034,48,14.31183910369873
2,6009979,80,40,60.0,339.0,47,PhISCS_I_,15.72451376914978,1.0,simNo_2-s_10-m_40-n_80.SC.ground,9.017098665237427,838,778,2362,2422,10,2,optimality,,,,
3,6009979,80,40,60.0,339.0,47,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,23.99493408203125,1.0,simNo_2-s_10-m_40-n_80.SC.ground,14.006124496459961,838,778,2362,2422,10,2,optimality,0.29179426034291583,6.922071695327759,48,16.43485736846924
4,5505996,80,40,60.0,339.0,38,PhISCS_I_,18.013282299041748,1.0,simNo_3-s_10-m_40-n_80.SC.ground,11.367368459701538,497,437,2703,2763,10,3,optimality,,,,
5,5505996,80,40,60.0,339.0,38,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,23.13783049583435,1.0,simNo_3-s_10-m_40-n_80.SC.ground,12.835606575012207,497,437,2703,2763,10,3,optimality,0.32911811730800533,6.612364292144775,39,16.022679567337036
6,6835731,80,40,60.0,339.0,44,PhISCS_I_,20.009371757507324,1.0,simNo_4-s_10-m_40-n_80.SC.ground,13.170670509338379,616,556,2584,2644,10,4,optimality,,,,
7,6835731,80,40,60.0,339.0,44,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,29.05938696861267,1.0,simNo_4-s_10-m_40-n_80.SC.ground,18.931222915649414,616,556,2584,2644,10,4,optimality,0.20139598846435547,6.7235426902771,94,21.55058526992798
8,5269083,80,40,60.0,339.0,51,PhISCS_I_,15.15855884552002,1.0,simNo_5-s_10-m_40-n_80.SC.ground,8.320096015930176,1171,1111,2029,2089,10,5,optimality,,,,
9,5269083,80,40,60.0,339.0,50,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,20.282078504562378,1.0,simNo_5-s_10-m_40-n_80.SC.ground,11.325785398483276,1171,1111,2029,2089,10,5,optimality,0.2220742234996721,6.149481773376465,51,13.473795890808105
10,2390464,80,40,60.0,339.0,36,PhISCS_I_,17.622212409973145,1.0,simNo_6-s_10-m_40-n_80.SC.ground,11.11671781539917,529,469,2671,2731,10,6,optimality,,,,
11,2390464,80,40,60.0,339.0,36,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,20.970722675323486,1.0,simNo_6-s_10-m_40-n_80.SC.ground,11.19365930557251,529,469,2671,2731,10,6,optimality,0.29456998172559234,6.538935899734497,38,13.963011264801025
12,4549121,80,40,60.0,339.0,52,PhISCS_I_,15.933525085449219,1.0,simNo_7-s_10-m_40-n_80.SC.ground,9.509502410888672,1213,1153,1987,2047,10,7,optimality,,,,
