,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,2800561,40,80,60.0,339.0,47,PhISCS_I_,41.22434949874878,1.0,simNo_1-s_10-m_80-n_40.SC.ground,28.21281886100769,633,573,2567,2627,10,1,optimality,,,,
1,2800561,40,80,60.0,339.0,47,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,363.00588726997375,1.0,simNo_1-s_10-m_80-n_40.SC.ground,339.3472971916199,633,573,2567,2627,10,1,time_limit,0.277925714325651,14.479804039001465,1221,340.8007085323334
2,356816,40,80,60.0,339.0,42,PhISCS_I_,39.71576404571533,1.0,simNo_2-s_10-m_80-n_40.SC.ground,26.63916254043579,763,703,2437,2497,10,2,optimality,,,,
3,356816,40,80,60.0,339.0,42,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,259.0684835910797,1.0,simNo_2-s_10-m_80-n_40.SC.ground,238.0163722038269,763,703,2437,2497,10,2,optimality,0.4594910660305539,13.255529403686523,518,242.73844385147095
4,3319748,40,80,60.0,339.0,43,PhISCS_I_,43.7002375125885,1.0,simNo_3-s_10-m_80-n_40.SC.ground,29.79995346069336,550,490,2650,2710,10,3,optimality,,,,
5,3319748,40,80,60.0,339.0,43,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,80.25217413902283,1.0,simNo_3-s_10-m_80-n_40.SC.ground,57.782599449157715,550,490,2650,2710,10,3,optimality,0.560996111156871,13.40355658531189,103,66.07136917114258
6,1926357,40,80,60.0,339.0,36,PhISCS_I_,37.28771901130676,1.0,simNo_4-s_10-m_80-n_40.SC.ground,23.947063207626343,586,526,2614,2674,10,4,optimality,,,,
7,1926357,40,80,60.0,339.0,36,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,65.09594106674194,1.0,simNo_4-s_10-m_80-n_40.SC.ground,43.066670179367065,586,526,2614,2674,10,4,optimality,0.6946237125704365,13.4922935962677,62,50.92323446273804
8,1975914,40,80,60.0,339.0,37,PhISCS_I_,43.482057332992554,1.0,simNo_5-s_10-m_80-n_40.SC.ground,30.431325674057007,320,260,2880,2940,10,5,optimality,,,,
9,1975914,40,80,60.0,339.0,37,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,48.62782669067383,1.0,simNo_5-s_10-m_80-n_40.SC.ground,25.900996923446655,320,260,2880,2940,10,5,optimality,0.588659020987424,13.421124696731567,44,34.739341735839844
10,4934142,40,80,60.0,339.0,38,PhISCS_I_,36.75676345825195,1.0,simNo_6-s_10-m_80-n_40.SC.ground,23.32955312728882,627,567,2573,2633,10,6,optimality,,,,
11,4934142,40,80,60.0,339.0,38,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,42.69849896430969,1.0,simNo_6-s_10-m_80-n_40.SC.ground,21.865729093551636,627,567,2573,2633,10,6,optimality,0.5606597203474778,13.175178289413452,39,29.03291630744934
12,4936822,40,80,60.0,339.0,41,PhISCS_I_,38.98987054824829,1.0,simNo_7-s_10-m_80-n_40.SC.ground,25.9857177734375,600,540,2600,2660,10,7,optimality,,,,
13,4936822,40,80,60.0,339.0,41,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,59.612284898757935,1.0,simNo_7-s_10-m_80-n_40.SC.ground,37.52706575393677,600,540,2600,2660,10,7,optimality,0.893501565569923,13.062751054763794,42,46.0253689289093
14,835664,40,80,60.0,339.0,48,PhISCS_I_,36.0412757396698,1.0,simNo_8-s_10-m_80-n_40.SC.ground,22.63103199005127,737,677,2463,2523,10,8,optimality,,,,
15,835664,40,80,60.0,339.0,48,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,48.2197163105011,1.0,simNo_8-s_10-m_80-n_40.SC.ground,26.01649785041809,737,677,2463,2523,10,8,optimality,0.5309489357228182,13.49093770980835,49,34.12529158592224
16,4070008,40,80,60.0,339.0,41,PhISCS_I_,36.987446784973145,1.0,simNo_9-s_10-m_80-n_40.SC.ground,23.33243179321289,546,486,2654,2714,10,9,optimality,,,,
17,4070008,40,80,60.0,339.0,41,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,49.387616872787476,1.0,simNo_9-s_10-m_80-n_40.SC.ground,26.855027437210083,546,486,2654,2714,10,9,optimality,0.6394054151716686,13.361303806304932,42,35.52446174621582
18,2214441,40,80,60.0,339.0,49,PhISCS_I_,34.38133144378662,1.0,simNo_10-s_10-m_80-n_40.SC.ground,21.059393882751465,808,748,2392,2452,10,10,optimality,,,,
19,2214441,40,80,60.0,339.0,49,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,47.50322508811951,1.0,simNo_10-s_10-m_80-n_40.SC.ground,27.90711808204651,808,748,2392,2452,10,10,optimality,0.34883897602558134,12.882262706756592,80,33.96739435195923
20,6366429,40,80,60.0,339.0,45,PhISCS_I_,33.99986147880554,1.0,simNo_11-s_10-m_80-n_40.SC.ground,19.90074872970581,804,744,2396,2456,10,11,optimality,,,,
21,6366429,40,80,60.0,339.0,45,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,50.79220724105835,1.0,simNo_11-s_10-m_80-n_40.SC.ground,30.432178497314453,804,744,2396,2456,10,11,optimality,0.6615690977677054,12.953160524368286,46,37.29559803009033
22,1805130,40,80,60.0,339.0,45,PhISCS_I_,49.15587568283081,1.0,simNo_12-s_10-m_80-n_40.SC.ground,34.37846779823303,563,503,2637,2697,10,12,optimality,,,,
23,1805130,40,80,60.0,339.0,44,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,52.0355339050293,1.0,simNo_12-s_10-m_80-n_40.SC.ground,29.93842315673828,563,503,2637,2697,10,12,optimality,0.5648759086177034,13.427022457122803,53,38.04443550109863
24,6911892,40,80,60.0,339.0,48,PhISCS_I_,35.74998664855957,1.0,simNo_13-s_10-m_80-n_40.SC.ground,22.216596126556396,746,686,2454,2514,10,13,optimality,,,,
25,6911892,40,80,60.0,339.0,48,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,64.44302892684937,1.0,simNo_13-s_10-m_80-n_40.SC.ground,42.736740589141846,746,686,2454,2514,10,13,optimality,0.7243515354091838,13.579442024230957,59,50.25524067878723
26,3923689,40,80,60.0,339.0,46,PhISCS_I_,44.47579050064087,1.0,simNo_14-s_10-m_80-n_40.SC.ground,29.022864818572998,718,658,2482,2542,10,14,optimality,,,,
27,3923689,40,80,60.0,339.0,46,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,363.49062871932983,1.0,simNo_14-s_10-m_80-n_40.SC.ground,339.1974835395813,718,658,2482,2542,10,14,time_limit,0.25484408981185674,16.239827871322632,1331,338.24171447753906
28,2621503,40,80,60.0,339.0,47,PhISCS_I_,37.00083303451538,1.0,simNo_15-s_10-m_80-n_40.SC.ground,23.44974660873413,1075,1015,2125,2185,10,15,optimality,,,,
29,2621503,40,80,60.0,339.0,47,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,359.9293849468231,1.0,simNo_15-s_10-m_80-n_40.SC.ground,339.09707713127136,1075,1015,2125,2185,10,15,time_limit,0.4165811758369427,14.017276763916016,814,341.02672052383423
30,5653335,40,80,60.0,339.0,44,PhISCS_I_,33.19899868965149,1.0,simNo_16-s_10-m_80-n_40.SC.ground,20.302431344985962,940,880,2260,2320,10,16,optimality,,,,
31,5653335,40,80,60.0,339.0,43,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,51.93209481239319,1.0,simNo_16-s_10-m_80-n_40.SC.ground,31.60794234275818,940,880,2260,2320,10,16,optimality,0.7183623259717767,13.138542413711548,44,38.24592137336731
32,7617302,40,80,60.0,339.0,41,PhISCS_I_,38.921268939971924,1.0,simNo_17-s_10-m_80-n_40.SC.ground,25.650508165359497,621,561,2579,2639,10,17,optimality,,,,
33,7617302,40,80,60.0,339.0,41,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,123.71011972427368,1.0,simNo_17-s_10-m_80-n_40.SC.ground,100.02530145645142,621,561,2579,2639,10,17,optimality,0.4292931392980747,15.316112995147705,233,106.74497270584106
34,5564437,40,80,60.0,339.0,38,PhISCS_I_,43.93606209754944,1.0,simNo_18-s_10-m_80-n_40.SC.ground,30.559970378875732,504,444,2696,2756,10,18,optimality,,,,
35,5564437,40,80,60.0,339.0,38,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,46.69300556182861,1.0,simNo_18-s_10-m_80-n_40.SC.ground,26.209962844848633,504,444,2696,2756,10,18,optimality,0.5956809737465598,12.889641284942627,44,33.316784381866455
36,6752354,40,80,60.0,339.0,40,PhISCS_I_,43.87506031990051,1.0,simNo_19-s_10-m_80-n_40.SC.ground,30.51146388053894,605,545,2595,2655,10,19,optimality,,,,
