,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,7011928,80,80,120.0,960.0,93,PhISCS_I_,752.9531986713409,1.0,simNo_1-s_10-m_80-n_80.SC.ground,722.8628556728363,1269,1149,5131,5251,10,1,optimality,,,,
1,7011928,80,80,120.0,960.0,93,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1014.1773777008057,1.0,simNo_1-s_10-m_80-n_80.SC.ground,962.804901599884,1269,1149,5131,5251,10,1,time_limit,1.4284939192876618,29.91642928123474,674,975.2357206344604
2,9227431,80,80,120.0,960.0,98,PhISCS_I_,135.05831336975098,1.0,simNo_2-s_10-m_80-n_80.SC.ground,106.14321947097778,1464,1344,4936,5056,10,2,optimality,,,,
3,9227431,80,80,120.0,960.0,97,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1014.1855916976929,1.0,simNo_2-s_10-m_80-n_80.SC.ground,961.4646265506744,1464,1344,4936,5056,10,2,time_limit,0.9500638602279392,32.65265703201294,1012,968.9060008525848
4,3358644,80,80,120.0,960.0,85,PhISCS_I_,998.249351978302,1.0,simNo_3-s_10-m_80-n_80.SC.ground,970.4867508411407,978,858,5422,5542,10,3,time_limit,,,,
5,3358644,80,80,120.0,960.0,85,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1009.0519752502441,1.0,simNo_3-s_10-m_80-n_80.SC.ground,962.4518554210663,978,858,5422,5542,10,3,time_limit,0.9166208146867298,28.146291494369507,1050,967.4719748497009
6,3152825,80,80,120.0,960.0,90,PhISCS_I_,687.2433068752289,1.0,simNo_4-s_10-m_80-n_80.SC.ground,654.7968833446503,1062,942,5338,5458,10,4,optimality,,,,
7,3152825,80,80,120.0,960.0,90,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1009.2041296958923,1.0,simNo_4-s_10-m_80-n_80.SC.ground,960.6136875152588,1062,942,5338,5458,10,4,time_limit,1.5056640870145122,28.623029232025146,638,971.0303318500519
8,9412587,80,80,120.0,960.0,80,PhISCS_I_,914.485853433609,1.0,simNo_5-s_10-m_80-n_80.SC.ground,885.6395571231842,923,803,5477,5597,10,5,optimality,,,,
9,9412587,80,80,120.0,960.0,80,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1010.9898874759674,1.0,simNo_5-s_10-m_80-n_80.SC.ground,961.2281613349915,923,803,5477,5597,10,5,time_limit,1.0204120608651714,29.222947597503662,942,971.1013708114624
10,959187,80,80,120.0,960.0,99,PhISCS_I_,992.4802508354187,1.0,simNo_6-s_10-m_80-n_80.SC.ground,964.4600670337677,1414,1294,4986,5106,10,6,time_limit,,,,
11,959187,80,80,120.0,960.0,100,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.8626236915588,1.0,simNo_6-s_10-m_80-n_80.SC.ground,960.2173647880554,1414,1294,4986,5106,10,6,time_limit,1.6385961856451459,29.478190660476685,586,975.9764657020569
12,1889270,80,80,120.0,960.0,92,PhISCS_I_,345.7533061504364,1.0,simNo_7-s_10-m_80-n_80.SC.ground,317.92554473876953,1258,1138,5142,5262,10,7,optimality,,,,
13,1889270,80,80,120.0,960.0,93,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1008.9746444225311,1.0,simNo_7-s_10-m_80-n_80.SC.ground,960.8131310939789,1258,1138,5142,5262,10,7,time_limit,1.5447156448456252,28.88956618309021,622,972.1854882240295
14,8600063,80,80,120.0,960.0,95,PhISCS_I_,132.60110425949097,1.0,simNo_8-s_10-m_80-n_80.SC.ground,104.90032744407654,1514,1394,4886,5006,10,8,optimality,,,,
15,8600063,80,80,120.0,960.0,100,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1008.024998664856,1.0,simNo_8-s_10-m_80-n_80.SC.ground,961.8787333965302,1514,1394,4886,5006,10,8,time_limit,1.0819783277801238,28.850199222564697,889,967.3497343063354
16,3709171,80,80,120.0,960.0,84,PhISCS_I_,990.1556468009949,1.0,simNo_9-s_10-m_80-n_80.SC.ground,961.2898218631744,1204,1084,5196,5316,10,9,time_limit,,,,
17,3709171,80,80,120.0,960.0,86,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1004.9641151428223,1.0,simNo_9-s_10-m_80-n_80.SC.ground,960.0364172458649,1204,1084,5196,5316,10,9,time_limit,1.5661279237289802,28.36982488632202,613,967.8495814800262
18,3559056,80,80,120.0,960.0,100,PhISCS_I_,351.367568731308,1.0,simNo_10-s_10-m_80-n_80.SC.ground,322.2930963039398,1561,1441,4839,4959,10,10,optimality,,,,
19,3559056,80,80,120.0,960.0,100,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.596586227417,1.0,simNo_10-s_10-m_80-n_80.SC.ground,960.4008412361145,1561,1441,4839,4959,10,10,time_limit,1.0988567977529915,30.56947660446167,874,970.1354591846466
20,1835687,80,80,120.0,960.0,90,PhISCS_I_,112.8757221698761,1.0,simNo_11-s_10-m_80-n_80.SC.ground,85.5466058254242,1458,1338,4942,5062,10,11,optimality,,,,
21,1835687,80,80,120.0,960.0,90,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,257.3563780784607,1.0,simNo_11-s_10-m_80-n_80.SC.ground,208.50012278556824,1458,1338,4942,5062,10,11,optimality,1.3365392486254375,28.336966514587402,156,226.66301798820496
22,8052153,80,80,120.0,960.0,91,PhISCS_I_,884.8175475597382,1.0,simNo_12-s_10-m_80-n_80.SC.ground,855.8549861907959,1166,1046,5234,5354,10,12,optimality,,,,
23,8052153,80,80,120.0,960.0,91,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.1541063785553,1.0,simNo_12-s_10-m_80-n_80.SC.ground,960.3098473548889,1166,1046,5234,5354,10,12,time_limit,1.624889758637714,29.979189157485962,591,974.6939644813538
24,5222755,80,80,120.0,960.0,93,PhISCS_I_,385.0949504375458,1.0,simNo_13-s_10-m_80-n_80.SC.ground,357.60164880752563,1367,1247,5033,5153,10,13,optimality,,,,
25,5222755,80,80,120.0,960.0,94,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.7194979190826,1.0,simNo_13-s_10-m_80-n_80.SC.ground,960.1459922790527,1367,1247,5033,5153,10,13,time_limit,1.632901347413355,31.722601175308228,588,973.5619328022003
26,9343674,80,80,120.0,960.0,93,PhISCS_I_,135.6713206768036,1.0,simNo_14-s_10-m_80-n_80.SC.ground,106.89391899108887,1314,1194,5086,5206,10,14,optimality,,,,
27,9343674,80,80,120.0,960.0,92,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.5911161899567,1.0,simNo_14-s_10-m_80-n_80.SC.ground,961.0685093402863,1314,1194,5086,5206,10,14,time_limit,1.4831304156485898,29.98034381866455,648,974.3227288722992
28,1014817,80,80,120.0,960.0,100,PhISCS_I_,625.3395879268646,1.0,simNo_15-s_10-m_80-n_80.SC.ground,596.4624834060669,1887,1767,4513,4633,10,15,optimality,,,,
29,1014817,80,80,120.0,960.0,99,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1011.371349811554,1.0,simNo_15-s_10-m_80-n_80.SC.ground,960.6916437149048,1887,1767,4513,4633,10,15,time_limit,1.275818915956049,30.179914712905884,753,970.9948205947876
30,5964449,80,80,120.0,960.0,102,PhISCS_I_,111.109454870224,1.0,simNo_16-s_10-m_80-n_80.SC.ground,83.57760715484619,2156,2036,4244,4364,10,16,optimality,,,,
31,5964449,80,80,120.0,960.0,103,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1006.5650022029877,1.0,simNo_16-s_10-m_80-n_80.SC.ground,960.3862771987915,2156,2036,4244,4364,10,16,time_limit,1.03937908787748,29.40912628173828,924,964.9763305187225
32,1738817,80,80,120.0,960.0,93,PhISCS_I_,140.9759361743927,1.0,simNo_17-s_10-m_80-n_80.SC.ground,113.03901672363281,1285,1165,5115,5235,10,17,optimality,,,,
33,1738817,80,80,120.0,960.0,94,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1010.372166633606,1.0,simNo_17-s_10-m_80-n_80.SC.ground,960.9132795333862,1285,1165,5115,5235,10,17,time_limit,1.2967790547009261,30.187997341156006,741,971.1867861747742
34,1316183,80,80,120.0,960.0,82,PhISCS_I_,218.78444576263428,1.0,simNo_18-s_10-m_80-n_80.SC.ground,190.10537838935852,1026,906,5374,5494,10,18,optimality,,,,
35,1316183,80,80,120.0,960.0,84,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.4940345287323,1.0,simNo_18-s_10-m_80-n_80.SC.ground,960.640857219696,1026,906,5374,5494,10,18,time_limit,1.928997705260434,29.52085828781128,498,976.4901356697083
36,3762785,80,80,120.0,960.0,87,PhISCS_I_,674.2373151779175,1.0,simNo_19-s_10-m_80-n_80.SC.ground,646.2793340682983,1057,937,5343,5463,10,19,optimality,,,,
37,3762785,80,80,120.0,960.0,88,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1007.9995768070221,1.0,simNo_19-s_10-m_80-n_80.SC.ground,960.9012055397034,1057,937,5343,5463,10,19,time_limit,1.3476875253011267,28.584201335906982,713,970.2721633911133
38,1760264,80,80,120.0,960.0,101,PhISCS_I_,105.28678512573242,1.0,simNo_20-s_10-m_80-n_80.SC.ground,77.54940557479858,2028,1908,4372,4492,10,20,optimality,,,,
39,1760264,80,80,120.0,960.0,99,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1007.0917282104492,1.0,simNo_20-s_10-m_80-n_80.SC.ground,961.571662902832,2028,1908,4372,4492,10,20,time_limit,1.2359532942195783,28.462406396865845,778,968.9439446926117
40,4635629,80,80,120.0,960.0,96,PhISCS_I_,128.6223006248474,1.0,simNo_21-s_10-m_80-n_80.SC.ground,100.13995456695557,1411,1291,4989,5109,10,21,optimality,,,,
41,4635629,80,80,120.0,960.0,96,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1014.4019005298615,1.0,simNo_21-s_10-m_80-n_80.SC.ground,963.0114059448242,1411,1291,4989,5109,10,21,time_limit,1.5970338407045177,31.070301055908203,603,974.9778521060944
42,5781767,80,80,120.0,960.0,78,PhISCS_I_,922.3617105484009,1.0,simNo_22-s_10-m_80-n_80.SC.ground,894.276983499527,907,787,5493,5613,10,22,optimality,,,,
43,5781767,80,80,120.0,960.0,78,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1012.4387221336365,1.0,simNo_22-s_10-m_80-n_80.SC.ground,961.0557622909546,907,787,5493,5613,10,22,time_limit,1.5911519243227725,29.541602849960327,604,975.1486852169037
44,7412904,80,80,120.0,960.0,90,PhISCS_I_,917.2343571186066,1.0,simNo_23-s_10-m_80-n_80.SC.ground,888.9567790031433,1253,1133,5147,5267,10,23,optimality,,,,
45,7412904,80,80,120.0,960.0,93,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1008.5570821762085,1.0,simNo_23-s_10-m_80-n_80.SC.ground,960.0939784049988,1253,1133,5147,5267,10,23,time_limit,1.5460450537922685,28.042545795440674,621,971.5274550914764
46,9213458,80,80,120.0,960.0,86,PhISCS_I_,1035.6309971809387,1.0,simNo_24-s_10-m_80-n_80.SC.ground,1008.7094552516937,1012,892,5388,5508,10,24,time_limit,,,,
47,9213458,80,80,120.0,960.0,88,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1015.7543730735779,1.0,simNo_24-s_10-m_80-n_80.SC.ground,962.069041967392,1012,892,5388,5508,10,24,time_limit,1.1345153796785283,32.88967323303223,848,971.12082695961
48,1458494,80,80,120.0,960.0,82,PhISCS_I_,891.0673677921295,1.0,simNo_25-s_10-m_80-n_80.SC.ground,860.2344524860382,927,807,5473,5593,10,25,optimality,,,,
49,1458494,80,80,120.0,960.0,84,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1009.6668128967285,1.0,simNo_25-s_10-m_80-n_80.SC.ground,961.4306516647339,927,807,5473,5593,10,25,time_limit,1.3503239489673229,27.85579490661621,712,972.7740113735199
