,hash,n,m,k,t,n_flips,method,runtime,cf,file_name,internal_time,num_ones_ground,num_ones_noisy,num_zeros_ground,num_zeros_noisy,s,simNo,termination_condition,avg_node_time,model_preparation_time,n_nodes,optimization_time
0,7852222,40,80,30.0,169.0,20,PhISCS_I_,30.636086225509644,1.0,simNo_1-s_10-m_80-n_40.SC.ground,15.701251029968262,633,603,2567,2597,10,1,optimality,,,,
1,7852222,40,80,30.0,169.0,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,37.69396686553955,1.0,simNo_1-s_10-m_80-n_40.SC.ground,14.848744630813599,633,603,2567,2597,10,1,optimality,0.7070830776577904,13.52924132347107,21,23.89609932899475
2,9753811,40,80,30.0,169.0,22,PhISCS_I_,27.720988750457764,1.0,simNo_2-s_10-m_80-n_40.SC.ground,14.686084747314453,763,733,2437,2467,10,2,optimality,,,,
3,9753811,40,80,30.0,169.0,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,39.19377398490906,1.0,simNo_2-s_10-m_80-n_40.SC.ground,17.523717164993286,763,733,2437,2467,10,2,optimality,0.7619007463040559,13.369736671447754,23,25.539984226226807
4,9012336,40,80,30.0,169.0,19,PhISCS_I_,36.428619384765625,1.0,simNo_3-s_10-m_80-n_40.SC.ground,22.87350869178772,550,520,2650,2680,10,3,optimality,,,,
5,9012336,40,80,30.0,169.0,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,48.50634551048279,1.0,simNo_3-s_10-m_80-n_40.SC.ground,27.07033634185791,550,520,2650,2680,10,3,optimality,0.6602521058989734,13.67539644241333,41,34.333781719207764
6,2751481,40,80,30.0,169.0,18,PhISCS_I_,35.1543173789978,1.0,simNo_4-s_10-m_80-n_40.SC.ground,21.699748516082764,586,556,2614,2644,10,4,optimality,,,,
7,2751481,40,80,30.0,169.0,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,35.72124242782593,1.0,simNo_4-s_10-m_80-n_40.SC.ground,13.712335348129272,586,556,2614,2644,10,4,optimality,0.7217018604278564,13.358563899993896,19,22.12781023979187
8,82829,40,80,30.0,169.0,16,PhISCS_I_,29.76798987388611,1.0,simNo_5-s_10-m_80-n_40.SC.ground,16.463258743286133,320,290,2880,2910,10,5,optimality,,,,
9,82829,40,80,30.0,169.0,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,34.76148581504822,1.0,simNo_5-s_10-m_80-n_40.SC.ground,12.247639417648315,320,290,2880,2910,10,5,optimality,0.7204493775087244,13.296524286270142,17,21.26042604446411
