,hash,n,m,n_flips,method,runtime,cf,internal_time
0,6104231,100,40,36,PhISCS_I_,19.930808782577515,1.0,9.891425371170044
1,6104231,100,40,36,PhISCS_B_,2.8120973110198975,1.0,0.10975813865661621
2,8664843,100,40,37,PhISCS_I_,21.450884342193604,1.0,11.70941424369812
3,8664843,100,40,37,PhISCS_B_,2.580484628677368,1.0,0.12556076049804688
4,5509082,100,40,37,PhISCS_I_,23.534980297088623,1.0,14.650322675704956
5,5509082,100,40,36,PhISCS_B_,2.7416720390319824,1.0,0.08705353736877441
6,6588360,100,40,30,PhISCS_I_,16.693944931030273,1.0,8.606406211853027
7,6588360,100,40,30,PhISCS_B_,3.624462366104126,1.0,0.10721564292907715
8,7096314,100,40,36,PhISCS_I_,17.84228253364563,1.0,9.534485578536987
9,7096314,100,40,36,PhISCS_B_,3.2066545486450195,1.0,0.10220026969909668
10,7726013,100,40,31,PhISCS_I_,19.67087697982788,1.0,10.246597528457642
11,7726013,100,40,31,PhISCS_B_,3.32572865486145,1.0,0.11049056053161621
12,6049767,100,40,41,PhISCS_I_,22.98400902748108,1.0,13.496676445007324
13,6049767,100,40,40,PhISCS_B_,3.3259572982788086,1.0,0.1441059112548828
14,4502111,100,40,41,PhISCS_I_,19.85526204109192,1.0,10.269969701766968
15,4502111,100,40,40,PhISCS_B_,2.771867036819458,1.0,0.09644412994384766
16,1735317,100,40,32,PhISCS_I_,19.31985306739807,1.0,11.2937331199646
17,1735317,100,40,32,PhISCS_B_,3.1110410690307617,1.0,0.07623624801635742
18,949958,100,40,42,PhISCS_I_,17.709731340408325,1.0,9.493981838226318
19,949958,100,40,41,PhISCS_B_,3.5117685794830322,1.0,0.12261533737182617
