,hash,n,m,k,n_flips,method,runtime,cf,file_name,internal_time,num_ones,num_zeros,s,simNo,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,8490273,10,20,33.0,0,PhISCS_I_,0.6159412860870361,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.1763617992401123,9,191,10,1,,,,,
1,8490273,10,20,33.0,0,PhISCS_B_,0.07521224021911621,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0038444995880126953,9,191,10,1,,,,,
2,8490273,10,20,33.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.18827366828918457,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0005538463592529297,9,191,10,1,0.0005538463592529297,0.17732548713684082,1,0.0025587081909179688,optimality
3,8490273,10,20,33.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.22873640060424805,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0007143020629882812,9,191,10,1,0.0007143020629882812,0.21573567390441895,1,0.010877609252929688,optimality
4,8490273,10,20,33.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.43070244789123535,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0007345676422119141,9,191,10,1,0.0007345676422119141,0.32889890670776367,1,0.09973311424255371,optimality
5,8490273,10,20,33.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.5641646385192871,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0005440711975097656,9,191,10,1,0.0005440711975097656,0.4974687099456787,1,0.06471443176269531,optimality
6,8490273,10,20,33.0,0,BnB_DynamicMWMBounding_None_False,0.004876613616943359,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.0004875659942626953,9,191,10,1,0.0004875659942626953,,1,,optimality
7,8490273,10,20,33.0,0,BnB_RandomPartitioning_None_False,0.0044536590576171875,1.0,simNo_1-s_10-m_20-n_10.SC.ground,0.00047779083251953125,9,191,10,1,0.00047779083251953125,,1,,optimality
8,2271021,10,20,33.0,0,PhISCS_I_,0.36188554763793945,1.0,simNo_2-s_10-m_20-n_10.SC.ground,0.10011434555053711,1,199,10,2,,,,,
9,2271021,10,20,33.0,0,PhISCS_B_,0.0525355339050293,1.0,simNo_2-s_10-m_20-n_10.SC.ground,0.0018732547760009766,1,199,10,2,,,,,
10,2271021,10,20,33.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.21610093116760254,1.0,simNo_2-s_10-m_20-n_10.SC.ground,0.0005252361297607422,1,199,10,2,0.0005252361297607422,0.21186327934265137,1,0.002636432647705078,optimality
11,2271021,10,20,33.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.26154184341430664,1.0,simNo_2-s_10-m_20-n_10.SC.ground,0.0005576610565185547,1,199,10,2,0.0005576610565185547,0.2516803741455078,1,0.008128881454467773,optimality
