,hash,n,m,k,n_flips,method,runtime,cf,file_name,internal_time,num_ones,num_zeros,s,simNo,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,3075850,20,10,14.0,2,PhISCS_I_,0.2820920944213867,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.058054208755493164,19,181,10,1,,,,,
1,3075850,20,10,14.0,2,PhISCS_B_,0.0518798828125,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0026047229766845703,19,181,10,1,,,,,
2,3075850,20,10,14.0,2,BnB_SubsampleLPBounding_0.1_True_-1,0.13106679916381836,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.010027647018432617,19,181,10,1,0.001432521002633231,0.11216354370117188,7,0.0026102066040039062,optimality
3,3075850,20,10,14.0,2,BnB_SubsampleLPBounding_0.3_True_-1,0.0788736343383789,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.010826587677001953,19,181,10,1,0.0015466553824288504,0.06248617172241211,7,0.007500648498535156,optimality
4,3075850,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.15712594985961914,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.010942697525024414,19,181,10,1,0.0036475658416748047,0.11585307121276855,3,0.0340733528137207,optimality
5,3075850,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.22597026824951172,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.08359313011169434,19,181,10,1,0.027864376703898113,0.11239981651306152,3,0.10476469993591309,optimality
6,3075850,20,10,14.0,2,BnB_DynamicMWMBounding_None_False,0.01253056526184082,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.009985685348510742,19,181,10,1,0.003328561782836914,,3,,optimality
7,3075850,20,10,14.0,2,BnB_RandomPartitioning_None_False,0.013402938842773438,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.010924339294433594,19,181,10,1,0.001560619899204799,,7,,optimality
8,3107974,20,10,14.0,10,PhISCS_I_,0.15622591972351074,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.04523873329162598,48,152,10,2,,,,,
9,3107974,20,10,14.0,10,PhISCS_B_,0.060869693756103516,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.005380868911743164,48,152,10,2,,,,,
10,3107974,20,10,14.0,10,BnB_SubsampleLPBounding_0.1_True_-1,4.314849138259888,1.0,simNo_2-s_10-m_10-n_20.SC.ground,4.136321544647217,48,152,10,2,0.002020674911894097,0.5390560626983643,2047,0.4312310218811035,optimality
11,3107974,20,10,14.0,10,BnB_SubsampleLPBounding_0.3_True_-1,3.40411639213562,1.0,simNo_2-s_10-m_10-n_20.SC.ground,3.1184370517730713,48,152,10,2,0.0028609514236450197,0.5420136451721191,1090,0.5763490200042725,optimality
12,3107974,20,10,14.0,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2050185203552246,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.06322669982910156,48,152,10,2,0.0057478818026455965,0.1213076114654541,11,0.04707527160644531,optimality
13,3107974,20,10,14.0,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.6513791084289551,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.47246694564819336,48,152,10,2,0.04295154051347212,0.15688443183898926,11,0.4540584087371826,optimality
14,3107974,20,10,14.0,10,BnB_DynamicMWMBounding_None_False,1.1028809547424316,1.0,simNo_2-s_10-m_10-n_20.SC.ground,1.099731683731079,48,152,10,2,0.0067056809983602386,,164,,optimality
15,3107974,20,10,14.0,10,BnB_RandomPartitioning_None_False,1.1304845809936523,1.0,simNo_2-s_10-m_10-n_20.SC.ground,1.126258134841919,48,152,10,2,0.0022891425504917053,,492,,optimality
16,2404843,20,10,14.0,2,PhISCS_I_,0.27683496475219727,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.061743736267089844,26,174,10,3,,,,,
17,2404843,20,10,14.0,2,PhISCS_B_,0.0621187686920166,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.002529144287109375,26,174,10,3,,,,,
18,2404843,20,10,14.0,2,BnB_SubsampleLPBounding_0.1_True_-1,0.11665010452270508,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.015445709228515625,26,174,10,3,0.0022065298897879465,0.09795427322387695,7,0.0037932395935058594,optimality
19,2404843,20,10,14.0,2,BnB_SubsampleLPBounding_0.3_True_-1,0.19054174423217773,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.007383584976196289,26,174,10,3,0.0014767169952392579,0.17902350425720215,5,0.00523686408996582,optimality
20,2404843,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.18379688262939453,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.014346122741699219,26,174,10,3,0.004782040913899739,0.1413102149963379,3,0.03170180320739746,optimality
21,2404843,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.23772644996643066,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.06149768829345703,26,174,10,3,0.020499229431152344,0.13866925239562988,3,0.08826732635498047,optimality
22,2404843,20,10,14.0,2,BnB_DynamicMWMBounding_None_False,0.012865066528320312,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.01020503044128418,26,174,10,3,0.002551257610321045,,4,,optimality
23,2404843,20,10,14.0,2,BnB_RandomPartitioning_None_False,0.021466970443725586,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.017464637756347656,26,174,10,3,0.0024949482509068082,,7,,optimality
24,8292805,20,10,14.0,3,PhISCS_I_,0.29136013984680176,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.0532381534576416,26,174,10,4,,,,,
25,8292805,20,10,14.0,3,PhISCS_B_,0.06336331367492676,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.002513885498046875,26,174,10,4,,,,,
26,8292805,20,10,14.0,3,BnB_SubsampleLPBounding_0.1_True_-1,0.1445322036743164,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.03696322441101074,26,174,10,4,0.0024642149607340493,0.1058199405670166,15,0.005255222320556641,optimality
27,8292805,20,10,14.0,3,BnB_SubsampleLPBounding_0.3_True_-1,0.3022122383117676,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.05752921104431152,26,174,10,4,0.003835280736287435,0.23934602737426758,15,0.015888690948486328,optimality
28,8292805,20,10,14.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2925424575805664,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.02062702178955078,26,174,10,4,0.005156755447387695,0.23841619491577148,4,0.03749799728393555,optimality
29,8292805,20,10,14.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.32264089584350586,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.12368416786193848,26,174,10,4,0.03092104196548462,0.17479872703552246,4,0.13602161407470703,optimality
30,8292805,20,10,14.0,3,BnB_DynamicMWMBounding_None_False,0.051418304443359375,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.04599761962890625,26,174,10,4,0.005749702453613281,,8,,optimality
31,8292805,20,10,14.0,3,BnB_RandomPartitioning_None_False,0.036232948303222656,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.03186225891113281,26,174,10,4,0.0019913911819458008,,16,,optimality
32,9446498,20,10,14.0,2,PhISCS_I_,0.15782809257507324,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.037691354751586914,15,185,10,5,,,,,
33,9446498,20,10,14.0,2,PhISCS_B_,0.030460119247436523,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.001493692398071289,15,185,10,5,,,,,
34,9446498,20,10,14.0,2,BnB_SubsampleLPBounding_0.1_True_-1,0.26465368270874023,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.015308141708374023,15,185,10,5,0.0021868773869105746,0.24628973007202148,7,0.004126310348510742,optimality
35,9446498,20,10,14.0,2,BnB_SubsampleLPBounding_0.3_True_-1,0.07899165153503418,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.01505136489868164,15,185,10,5,0.002150194985525949,0.05919647216796875,7,0.007174253463745117,optimality
36,9446498,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2326498031616211,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.009306669235229492,15,185,10,5,0.0031022230784098306,0.20113396644592285,3,0.02538919448852539,optimality
37,9446498,20,10,14.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.2382967472076416,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.10615301132202148,15,185,10,5,0.03538433710734049,0.11086797714233398,3,0.1176910400390625,optimality
38,9446498,20,10,14.0,2,BnB_DynamicMWMBounding_None_False,0.023608684539794922,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.019388198852539062,15,185,10,5,0.0064627329508463545,,3,,optimality
39,9446498,20,10,14.0,2,BnB_RandomPartitioning_None_False,0.023946046829223633,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.020067214965820312,15,185,10,5,0.0028667449951171875,,7,,optimality
40,7362114,20,10,14.0,10,PhISCS_I_,0.26692938804626465,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.039041996002197266,59,141,10,6,,,,,
41,7362114,20,10,14.0,10,PhISCS_B_,0.03209853172302246,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.0038750171661376953,59,141,10,6,,,,,
42,7362114,20,10,14.0,10,BnB_SubsampleLPBounding_0.1_True_-1,4.221116781234741,1.0,simNo_6-s_10-m_10-n_20.SC.ground,4.1474997997283936,59,141,10,6,0.0020261357106636023,0.4215211868286133,2047,0.41168212890625,optimality
