,hash,n,m,k,n_flips,method,runtime,cf,file_name,internal_time,num_ones,num_zeros,s,simNo,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,5073388,20,10,10.0,2,PhISCS_I_,0.2730557918548584,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.05001544952392578,23,177,10,1,,,,,
1,5073388,20,10,10.0,2,PhISCS_B_,0.026967525482177734,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.001238107681274414,23,177,10,1,,,,,
2,5073388,20,10,10.0,2,BnB_SubsampleLPBounding_0.1_True_-1,0.14489269256591797,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.01353144645690918,23,177,10,1,0.0019330637795584543,0.12046217918395996,7,0.003180265426635742,optimality
3,5073388,20,10,10.0,2,BnB_SubsampleLPBounding_0.3_True_-1,0.11790609359741211,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.010746479034423828,23,177,10,1,0.0015352112906319754,0.1013033390045166,7,0.00743556022644043,optimality
4,5073388,20,10,10.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13628911972045898,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.007709503173828125,23,177,10,1,0.0025698343912760415,0.0997779369354248,3,0.030269622802734375,optimality
5,5073388,20,10,10.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.18755483627319336,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.05885648727416992,23,177,10,1,0.019618829091389973,0.09998440742492676,3,0.08087015151977539,optimality
6,5073388,20,10,10.0,2,BnB_DynamicMWMBounding_None_False,0.011616230010986328,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.009119749069213867,23,177,10,1,0.0030399163564046225,,3,,optimality
7,5073388,20,10,10.0,2,BnB_RandomPartitioning_None_False,0.00823068618774414,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.006120920181274414,23,177,10,1,0.001224184036254883,,5,,optimality
8,3412802,20,10,10.0,5,PhISCS_I_,0.17144465446472168,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.04179692268371582,52,148,10,2,,,,,
9,3412802,20,10,10.0,5,PhISCS_B_,0.034809112548828125,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.0019462108612060547,52,148,10,2,,,,,
10,3412802,20,10,10.0,5,BnB_SubsampleLPBounding_0.1_True_-1,0.23382210731506348,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.10790061950683594,52,148,10,2,0.001712708246140253,0.12787771224975586,63,0.014615058898925781,optimality
11,3412802,20,10,10.0,5,BnB_SubsampleLPBounding_0.3_True_-1,8.78490662574768,1.0,simNo_2-s_10-m_10-n_20.SC.ground,8.716892957687378,52,148,10,2,0.0041888000757748095,0.9902760982513428,2081,1.6102795600891113,optimality
12,3412802,20,10,10.0,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.4073669910430908,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.03637385368347168,52,148,10,2,0.00606230894724528,0.33547544479370117,6,0.04967498779296875,optimality
13,3412802,20,10,10.0,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.37093234062194824,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.22695708274841309,52,148,10,2,0.03782618045806885,0.1246185302734375,6,0.22662687301635742,optimality
14,3412802,20,10,10.0,5,BnB_DynamicMWMBounding_None_False,0.05917024612426758,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.055529117584228516,52,148,10,2,0.006169901953803169,,9,,optimality
15,3412802,20,10,10.0,5,BnB_RandomPartitioning_None_False,1.2544102668762207,1.0,simNo_2-s_10-m_10-n_20.SC.ground,1.25215744972229,52,148,10,2,0.0029742457238059144,,421,,optimality
16,2908098,20,10,10.0,2,PhISCS_I_,0.2507505416870117,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.06564998626708984,30,170,10,3,,,,,
17,2908098,20,10,10.0,2,PhISCS_B_,0.05711698532104492,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.0024089813232421875,30,170,10,3,,,,,
18,2908098,20,10,10.0,2,BnB_SubsampleLPBounding_0.1_True_-1,0.09024596214294434,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.015470027923583984,30,170,10,3,0.002210003989083426,0.07126092910766602,7,0.0037164688110351562,optimality
19,2908098,20,10,10.0,2,BnB_SubsampleLPBounding_0.3_True_-1,0.16549420356750488,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.010307073593139648,30,170,10,3,0.0014724390847342356,0.15122270584106445,7,0.00573420524597168,optimality
20,2908098,20,10,10.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13167214393615723,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.008327245712280273,30,170,10,3,0.0027757485707600913,0.09899306297302246,3,0.026592493057250977,optimality
21,2908098,20,10,10.0,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.18210339546203613,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.0658719539642334,30,170,10,3,0.0219573179880778,0.0961453914642334,3,0.07893753051757812,optimality
22,2908098,20,10,10.0,2,BnB_DynamicMWMBounding_None_False,0.011832714080810547,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.009287357330322266,30,170,10,3,0.0030957857767740884,,3,,optimality
23,2908098,20,10,10.0,2,BnB_RandomPartitioning_None_False,0.019067764282226562,1.0,simNo_3-s_10-m_10-n_20.SC.ground,0.015076875686645508,30,170,10,3,0.002153839383806501,,7,,optimality
24,8131560,20,10,10.0,3,PhISCS_I_,0.14750909805297852,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.04336690902709961,30,170,10,4,,,,,
25,8131560,20,10,10.0,3,PhISCS_B_,0.028764724731445312,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.0016129016876220703,30,170,10,4,,,,,
26,8131560,20,10,10.0,3,BnB_SubsampleLPBounding_0.1_True_-1,0.1433877944946289,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.019875049591064453,30,170,10,4,0.0013250033060709634,0.12189412117004395,15,0.0038590431213378906,optimality
27,8131560,20,10,10.0,3,BnB_SubsampleLPBounding_0.3_True_-1,0.0923318862915039,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.028171300888061523,30,170,10,4,0.0018780867258707682,0.06108570098876953,15,0.009307622909545898,optimality
28,8131560,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.14876651763916016,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.010389089584350586,30,170,10,4,0.0025972723960876465,0.11579155921936035,4,0.024709463119506836,optimality
29,8131560,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.23007535934448242,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.09093952178955078,30,170,10,4,0.022734880447387695,0.11713314056396484,4,0.10253310203552246,optimality
30,8131560,20,10,10.0,3,BnB_DynamicMWMBounding_None_False,0.018529653549194336,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.016028404235839844,30,170,10,4,0.003205680847167969,,5,,optimality
31,8131560,20,10,10.0,3,BnB_RandomPartitioning_None_False,0.0318145751953125,1.0,simNo_4-s_10-m_10-n_20.SC.ground,0.029725313186645508,30,170,10,4,0.001981687545776367,,15,,optimality
32,3832051,20,10,10.0,1,PhISCS_I_,0.22358345985412598,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.04373788833618164,19,181,10,5,,,,,
33,3832051,20,10,10.0,1,PhISCS_B_,0.02694559097290039,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.0011475086212158203,19,181,10,5,,,,,
34,3832051,20,10,10.0,1,BnB_SubsampleLPBounding_0.1_True_-1,0.053025007247924805,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.00386810302734375,19,181,10,5,0.00128936767578125,0.04686307907104492,3,0.0016107559204101562,optimality
35,3832051,20,10,10.0,1,BnB_SubsampleLPBounding_0.3_True_-1,0.07528924942016602,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.004024505615234375,19,181,10,5,0.0013415018717447917,0.06667089462280273,3,0.004613161087036133,optimality
36,3832051,20,10,10.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20846152305603027,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.005495786666870117,19,181,10,5,0.0027478933334350586,0.18162894248962402,2,0.022669553756713867,optimality
37,3832051,20,10,10.0,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.25960493087768555,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.023038387298583984,19,181,10,5,0.011519193649291992,0.19523024559020996,2,0.05782604217529297,optimality
38,3832051,20,10,10.0,1,BnB_DynamicMWMBounding_None_False,0.012317419052124023,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.007848024368286133,19,181,10,5,0.003924012184143066,,2,,optimality
39,3832051,20,10,10.0,1,BnB_RandomPartitioning_None_False,0.010117292404174805,1.0,simNo_5-s_10-m_10-n_20.SC.ground,0.00611114501953125,19,181,10,5,0.00203704833984375,,3,,optimality
40,5736017,20,10,10.0,6,PhISCS_I_,0.2094423770904541,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.049017906188964844,63,137,10,6,,,,,
41,5736017,20,10,10.0,6,PhISCS_B_,0.05566215515136719,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.0038955211639404297,63,137,10,6,,,,,
42,5736017,20,10,10.0,6,BnB_SubsampleLPBounding_0.1_True_-1,0.31714534759521484,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.23669695854187012,63,137,10,6,0.0018637555790698434,0.09091401100158691,127,0.027490615844726562,optimality
43,5736017,20,10,10.0,6,BnB_SubsampleLPBounding_0.3_True_-1,0.30707311630249023,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.14429998397827148,63,137,10,6,0.0023655735078405163,0.16611194610595703,61,0.026257753372192383,optimality
44,5736017,20,10,10.0,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.17808890342712402,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.024775266647338867,63,137,10,6,0.0035393238067626953,0.1334223747253418,7,0.029134273529052734,optimality
45,5736017,20,10,10.0,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.4063899517059326,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.23634624481201172,63,137,10,6,0.03376374925885882,0.13675260543823242,7,0.2448277473449707,optimality
46,5736017,20,10,10.0,6,BnB_DynamicMWMBounding_None_False,0.07765364646911621,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.07454943656921387,63,137,10,6,0.0037274718284606933,,20,,optimality
47,5736017,20,10,10.0,6,BnB_RandomPartitioning_None_False,0.15912199020385742,1.0,simNo_6-s_10-m_10-n_20.SC.ground,0.15497851371765137,63,137,10,6,0.0023842848264254055,,65,,optimality
48,3319775,20,10,10.0,3,PhISCS_I_,0.18216490745544434,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.040178775787353516,27,173,10,7,,,,,
49,3319775,20,10,10.0,3,PhISCS_B_,0.03529667854309082,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.0015778541564941406,27,173,10,7,,,,,
50,3319775,20,10,10.0,3,BnB_SubsampleLPBounding_0.1_True_-1,0.1404094696044922,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.01987314224243164,27,173,10,7,0.0013248761494954427,0.11896967887878418,15,0.003968000411987305,optimality
51,3319775,20,10,10.0,3,BnB_SubsampleLPBounding_0.3_True_-1,0.09431195259094238,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.022914409637451172,27,173,10,7,0.0015276273091634114,0.0676119327545166,15,0.009211063385009766,optimality
52,3319775,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.14064764976501465,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.013413667678833008,27,173,10,7,0.003353416919708252,0.10465884208679199,4,0.027001142501831055,optimality
53,3319775,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.2697005271911621,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.12647151947021484,27,173,10,7,0.03161787986755371,0.1167459487915039,4,0.13933491706848145,optimality
54,3319775,20,10,10.0,3,BnB_DynamicMWMBounding_None_False,0.026325464248657227,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.02317500114440918,27,173,10,7,0.005793750286102295,,4,,optimality
55,3319775,20,10,10.0,3,BnB_RandomPartitioning_None_False,0.057564496994018555,1.0,simNo_7-s_10-m_10-n_20.SC.ground,0.05530548095703125,27,173,10,7,0.00221221923828125,,25,,optimality
56,1179340,20,10,10.0,6,PhISCS_I_,0.14563488960266113,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.04175829887390137,34,166,10,8,,,,,
57,1179340,20,10,10.0,6,PhISCS_B_,0.033051490783691406,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.0022020339965820312,34,166,10,8,,,,,
58,1179340,20,10,10.0,6,BnB_SubsampleLPBounding_0.1_True_-1,0.383228063583374,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.25514936447143555,34,166,10,8,0.0020090501139483114,0.13898563385009766,127,0.029073715209960938,optimality
59,1179340,20,10,10.0,6,BnB_SubsampleLPBounding_0.3_True_-1,0.42690229415893555,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.29846620559692383,34,166,10,8,0.0023877296447753905,0.13202905654907227,125,0.06379508972167969,optimality
60,1179340,20,10,10.0,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.3408033847808838,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.027302026748657227,34,166,10,8,0.003900289535522461,0.29153990745544434,7,0.03213906288146973,optimality
61,1179340,20,10,10.0,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.5142216682434082,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.3161129951477051,34,166,10,8,0.04515899930681501,0.1634809970855713,7,0.3252265453338623,optimality
62,1179340,20,10,10.0,6,BnB_DynamicMWMBounding_None_False,0.05907940864562988,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.05633425712585449,34,166,10,8,0.004023875508989606,,14,,optimality
63,1179340,20,10,10.0,6,BnB_RandomPartitioning_None_False,0.144423246383667,1.0,simNo_8-s_10-m_10-n_20.SC.ground,0.14214277267456055,34,166,10,8,0.0015284169104791457,,93,,optimality
64,2724887,20,10,10.0,3,PhISCS_I_,0.20423150062561035,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.04887700080871582,28,172,10,9,,,,,
65,2724887,20,10,10.0,3,PhISCS_B_,0.04929947853088379,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.001500844955444336,28,172,10,9,,,,,
66,2724887,20,10,10.0,3,BnB_SubsampleLPBounding_0.1_True_-1,0.06599593162536621,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.019819974899291992,28,172,10,9,0.0013213316599527995,0.044859886169433594,15,0.003730297088623047,optimality
67,2724887,20,10,10.0,3,BnB_SubsampleLPBounding_0.3_True_-1,0.15480375289916992,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.024384260177612305,28,172,10,9,0.0016256173451741536,0.12685346603393555,15,0.008814334869384766,optimality
68,2724887,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.15700078010559082,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.012823104858398438,28,172,10,9,0.0032057762145996094,0.11813974380493164,4,0.030368804931640625,optimality
69,2724887,20,10,10.0,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.26494741439819336,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.11700105667114258,28,172,10,9,0.029250264167785645,0.11698675155639648,4,0.13382530212402344,optimality
70,2724887,20,10,10.0,3,BnB_DynamicMWMBounding_None_False,0.019953489303588867,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.017238378524780273,28,172,10,9,0.0034476757049560548,,5,,optimality
71,2724887,20,10,10.0,3,BnB_RandomPartitioning_None_False,0.0253448486328125,1.0,simNo_9-s_10-m_10-n_20.SC.ground,0.02122354507446289,28,172,10,9,0.0019294131885875356,,11,,optimality
72,1029720,20,10,10.0,0,PhISCS_I_,0.15287375450134277,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.039748430252075195,9,191,10,10,,,,,
73,1029720,20,10,10.0,0,PhISCS_B_,0.026299476623535156,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.0007386207580566406,9,191,10,10,,,,,
74,1029720,20,10,10.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.16043806076049805,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.0004858970642089844,9,191,10,10,0.0004858970642089844,0.1575014591217041,1,0.0015499591827392578,optimality
75,1029720,20,10,10.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.06894874572753906,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.0004968643188476562,9,191,10,10,0.0004968643188476562,0.06332278251647949,1,0.004195690155029297,optimality
76,1029720,20,10,10.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12151217460632324,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.0004780292510986328,9,191,10,10,0.0004780292510986328,0.09887266159057617,1,0.02122020721435547,optimality
77,1029720,20,10,10.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.11365103721618652,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.00041747093200683594,9,191,10,10,0.00041747093200683594,0.09230470657348633,1,0.02010035514831543,optimality
78,1029720,20,10,10.0,0,BnB_DynamicMWMBounding_None_False,0.0024390220642089844,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.00021028518676757812,9,191,10,10,0.00021028518676757812,,1,,optimality
79,1029720,20,10,10.0,0,BnB_RandomPartitioning_None_False,0.0028488636016845703,1.0,simNo_10-s_10-m_10-n_20.SC.ground,0.00021839141845703125,9,191,10,10,0.00021839141845703125,,1,,optimality
80,4419058,20,10,10.0,6,PhISCS_I_,0.17920327186584473,1.0,simNo_11-s_10-m_10-n_20.SC.ground,0.04443001747131348,42,158,10,11,,,,,
81,4419058,20,10,10.0,6,PhISCS_B_,0.0378262996673584,1.0,simNo_11-s_10-m_10-n_20.SC.ground,0.002107858657836914,42,158,10,11,,,,,
