,hash,n,m,k,n_flips,method,runtime,cf,file_name,internal_time,num_ones,num_zeros,s,simNo,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,9174971,20,10,24.0,0,PhISCS_I_,0.31025052070617676,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.07155299186706543,9,191,10,1,,,,,
1,9174971,20,10,24.0,0,PhISCS_B_,0.055004119873046875,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.002382040023803711,9,191,10,1,,,,,
2,9174971,20,10,24.0,0,BnB_SubsampleLPBounding_0.1_True_-1,0.18094944953918457,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0006437301635742188,9,191,10,1,0.0006437301635742188,0.17044544219970703,1,0.0015552043914794922,optimality
3,9174971,20,10,24.0,0,BnB_SubsampleLPBounding_0.3_True_-1,0.1096963882446289,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0006997585296630859,9,191,10,1,0.0006997585296630859,0.10080981254577637,1,0.006932497024536133,optimality
4,9174971,20,10,24.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2065258026123047,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0007431507110595703,9,191,10,1,0.0007431507110595703,0.16025543212890625,1,0.043982505798339844,optimality
5,9174971,20,10,24.0,0,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_False_True,0.24091362953186035,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0007522106170654297,9,191,10,1,0.0007522106170654297,0.19246554374694824,1,0.045812368392944336,optimality
6,9174971,20,10,24.0,0,BnB_DynamicMWMBounding_None_False,0.005453586578369141,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0006768703460693359,9,191,10,1,0.0006768703460693359,,1,,optimality
7,9174971,20,10,24.0,0,BnB_RandomPartitioning_None_False,0.005213499069213867,1.0,simNo_1-s_10-m_10-n_20.SC.ground,0.0007107257843017578,9,191,10,1,0.0007107257843017578,,1,,optimality
8,8871281,20,10,24.0,9,PhISCS_I_,0.28826355934143066,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.0683145523071289,38,162,10,2,,,,,
9,8871281,20,10,24.0,9,PhISCS_B_,0.0537571907043457,1.0,simNo_2-s_10-m_10-n_20.SC.ground,0.0033788681030273438,38,162,10,2,,,,,
10,8871281,20,10,24.0,9,BnB_SubsampleLPBounding_0.1_True_-1,2.473088502883911,1.0,simNo_2-s_10-m_10-n_20.SC.ground,2.2676572799682617,38,162,10,2,0.0022166737829601778,0.3854978084564209,1023,0.23915863037109375,optimality
