,hash,n,m,n_flips,method,runtime,cf,internal_time
0,2944393,40,40,9,PhISCS_I_,7.783953428268433,1.0,2.6851871013641357
1,2944393,40,40,9,PhISCS_B_,1.2025368213653564,1.0,0.030951738357543945
2,6556404,40,40,9,PhISCS_I_,7.34258508682251,1.0,2.3905742168426514
3,6556404,40,40,9,PhISCS_B_,1.145348072052002,1.0,0.030160903930664062
4,5892510,40,40,12,PhISCS_I_,7.5889809131622314,1.0,2.6128439903259277
5,5892510,40,40,12,PhISCS_B_,1.1109845638275146,1.0,0.02842569351196289
6,5833527,40,40,15,PhISCS_I_,9.599015951156616,1.0,4.147157192230225
7,5833527,40,40,15,PhISCS_B_,1.1789939403533936,1.0,0.0343475341796875
8,9741832,40,40,14,PhISCS_I_,7.665694236755371,1.0,2.6877338886260986
9,9741832,40,40,14,PhISCS_B_,1.3444395065307617,1.0,0.03528141975402832
10,4319410,40,40,12,PhISCS_I_,7.347790002822876,1.0,2.5565481185913086
11,4319410,40,40,12,PhISCS_B_,1.1857635974884033,1.0,0.029666900634765625
12,6864937,40,40,12,PhISCS_I_,7.082019329071045,1.0,2.3461759090423584
13,6864937,40,40,12,PhISCS_B_,1.019791841506958,1.0,0.022173166275024414
14,9751241,40,40,14,PhISCS_I_,7.269148588180542,1.0,2.6112287044525146
15,9751241,40,40,14,PhISCS_B_,1.2188143730163574,1.0,0.02974724769592285
16,3569831,40,40,10,PhISCS_I_,7.210751056671143,1.0,2.345909595489502
17,3569831,40,40,10,PhISCS_B_,1.2282423973083496,1.0,0.025354623794555664
18,9075261,40,40,15,PhISCS_I_,7.60833477973938,1.0,2.7338929176330566
19,9075261,40,40,15,PhISCS_B_,1.1610000133514404,1.0,0.03673291206359863
