,hash,n,m,n_flips,method,runtime,cf,internal_time
0,9319814,40,40,15,PhISCS_I_,9.42689561843872,1.0,3.6819067001342773
1,9319814,40,40,15,PhISCS_B_,1.1042516231536865,1.0,0.038025617599487305
2,8049372,40,40,15,PhISCS_I_,11.404270648956299,1.0,6.010289669036865
3,8049372,40,40,15,PhISCS_B_,1.1135191917419434,1.0,0.03350043296813965
4,3662016,40,40,13,PhISCS_I_,7.822561502456665,1.0,3.057368755340576
5,3662016,40,40,13,PhISCS_B_,1.119253396987915,1.0,0.02147078514099121
6,8114009,40,40,11,PhISCS_I_,10.761308193206787,1.0,5.624792098999023
7,8114009,40,40,11,PhISCS_B_,1.1564838886260986,1.0,0.032610177993774414
8,9529944,40,40,14,PhISCS_I_,8.87373423576355,1.0,3.64741849899292
9,9529944,40,40,14,PhISCS_B_,1.3057198524475098,1.0,0.028483867645263672
10,6520610,40,40,14,PhISCS_I_,8.419437170028687,1.0,3.7615208625793457
11,6520610,40,40,14,PhISCS_B_,1.1172542572021484,1.0,0.03320908546447754
12,6012985,40,40,13,PhISCS_I_,8.752878665924072,1.0,3.8703250885009766
13,6012985,40,40,13,PhISCS_B_,0.9731926918029785,1.0,0.02846074104309082
14,9460272,40,40,17,PhISCS_I_,8.964951515197754,1.0,3.932940721511841
15,9460272,40,40,17,PhISCS_B_,1.281757116317749,1.0,0.038931846618652344
16,1646433,40,40,12,PhISCS_I_,7.016793727874756,1.0,2.5216588973999023
17,1646433,40,40,12,PhISCS_B_,1.161180019378662,1.0,0.032674551010131836
18,1264519,40,40,18,PhISCS_I_,8.652736186981201,1.0,3.8833160400390625
19,1264519,40,40,18,PhISCS_B_,1.2333402633666992,1.0,0.03613114356994629
