,hash,n,m,n_flips,method,runtime,avg_node_time,cf,internal_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,2971280,100,100,7,BnB_SubsampleLPBounding_0.1_True_-1,77.37497472763062,0.1899256374777817,1.0,38.93475568294525,36.339524030685425,205,37.507628440856934,optimality
1,2971280,100,100,7,BnB_SubsampleLPBounding_0.25_True_-1,57.132912158966064,0.4023375069101652,1.0,6.035062603652477,45.67020893096924,15,11.165411233901978,optimality
2,2971280,100,100,7,BnB_SubsampleLPBounding_0.3_True_-1,74.87814497947693,0.7736091977533173,1.0,13.151356361806393,53.291393518447876,17,21.053196668624878,optimality
3,2971280,100,100,7,BnB_SubsampleLPBounding_0.4_True_-1,149.38887095451355,1.8518640304153615,1.0,40.741008669137955,87.97105884552002,22,60.699469804763794,optimality
4,2971280,100,100,7,BnB_SubsampleLPBounding_0.6_True_-1,158.22034406661987,1.7646128042386129,1.0,22.939966455101967,100.72712564468384,13,56.947476625442505,optimality
5,2971280,100,100,7,BnB_SubsampleLPBounding_None_True_-1,190.0540611743927,3.6259822733700275,1.0,29.00785818696022,110.61609959602356,8,78.961186170578,optimality
6,2971280,100,100,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,167.78201413154602,4.222390657290816,1.0,33.77912525832653,82.61911129951477,8,84.69552254676819,optimality
7,2971280,100,100,7,BnB_DynamicMWMBounding_None_False,5.831352949142456,0.5863470109179616,1.0,4.690776087343693,,8,,optimality
8,6730225,100,100,4,BnB_SubsampleLPBounding_0.1_True_-1,57.962586879730225,0.2378019334541427,1.0,6.420652203261852,48.86470007896423,27,8.424934148788452,optimality
9,6730225,100,100,4,BnB_SubsampleLPBounding_0.25_True_-1,101.35284638404846,0.9811116680502892,1.0,5.886670008301735,86.5712320804596,6,14.442364931106567,optimality
10,6730225,100,100,4,BnB_SubsampleLPBounding_0.3_True_-1,102.77336597442627,1.0832355439662933,1.0,5.416177719831467,88.4380271434784,5,14.068690299987793,optimality
11,6730225,100,100,4,BnB_SubsampleLPBounding_0.4_True_-1,91.91103076934814,1.4795330569148064,1.0,7.397665284574032,69.40839195251465,5,22.234598636627197,optimality
12,6730225,100,100,4,BnB_SubsampleLPBounding_0.6_True_-1,154.0091359615326,2.970610910654068,1.0,14.85305455327034,108.93352603912354,5,44.83803200721741,optimality
13,6730225,100,100,4,BnB_SubsampleLPBounding_None_True_-1,157.13742208480835,2.49172523021698,1.0,12.4586261510849,97.1560218334198,5,59.73972487449646,optimality
14,6730225,100,100,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,163.79271745681763,2.412876012921333,1.0,12.064380064606667,107.68236327171326,5,55.842161655426025,optimality
15,6730225,100,100,4,BnB_DynamicMWMBounding_None_False,3.370739221572876,0.38389133363962175,1.0,1.9194566681981087,,5,,optimality
16,4736188,100,100,1,BnB_SubsampleLPBounding_0.1_True_-1,45.64305591583252,0.1435058688124021,1.0,0.43051760643720627,42.85345196723938,3,2.7457964420318604,optimality
17,4736188,100,100,1,BnB_SubsampleLPBounding_0.25_True_-1,80.02255392074585,0.5146210168798765,1.0,1.5438630506396294,71.48758935928345,3,8.463728904724121,optimality
18,4736188,100,100,1,BnB_SubsampleLPBounding_0.3_True_-1,62.3652229309082,0.7244585404793421,1.0,2.1733756214380264,50.661566972732544,3,11.632748365402222,optimality
19,4736188,100,100,1,BnB_SubsampleLPBounding_0.4_True_-1,95.08375263214111,1.0922402404248714,1.0,2.184480480849743,76.42918586730957,2,18.593520641326904,optimality
20,4736188,100,100,1,BnB_SubsampleLPBounding_0.6_True_-1,121.9674882888794,1.87364611774683,1.0,3.74729223549366,89.69913172721863,2,32.217629194259644,optimality
21,4736188,100,100,1,BnB_SubsampleLPBounding_None_True_-1,116.61516094207764,2.078635897487402,1.0,4.157271794974804,72.74001693725586,2,43.82157897949219,optimality
22,4736188,100,100,1,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,102.60068893432617,1.551492802798748,1.0,3.102985605597496,65.08851337432861,2,37.46780848503113,optimality
23,4736188,100,100,1,BnB_DynamicMWMBounding_None_False,0.8920254707336426,0.06825873628258705,1.0,0.1365174725651741,,2,,optimality
24,7277444,100,100,16,BnB_SubsampleLPBounding_0.1_True_-1,355.55254554748535,0.24385661709294099,1.0,300.18749564141035,54.298744201660156,1231,271.2644820213318,time_limit
25,7277444,100,100,16,BnB_SubsampleLPBounding_0.25_True_-1,360.0655746459961,0.5987116735184169,1.0,301.1519717797637,54.832284450531006,503,294.83815026283264,time_limit
26,7277444,100,100,16,BnB_SubsampleLPBounding_0.3_True_-1,131.47224068641663,0.5157423235037748,1.0,87.67619499564171,38.0396032333374,170,90.87678956985474,optimality
27,7277444,100,100,16,BnB_SubsampleLPBounding_0.4_True_-1,120.63864016532898,0.769161857250664,1.0,55.379653722047806,57.18705677986145,72,62.32621121406555,optimality
28,7277444,100,100,16,BnB_SubsampleLPBounding_0.6_True_-1,101.14193940162659,2.1419747173786163,1.0,36.41357019543648,49.34191679954529,17,51.28895974159241,optimality
29,7277444,100,100,16,BnB_SubsampleLPBounding_None_True_-1,153.25682759284973,3.0465906262397766,1.0,51.7920406460762,73.8069236278534,17,78.92587208747864,optimality
30,7277444,100,100,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,136.07082653045654,3.3143079508753384,1.0,56.34323516488075,53.063753604888916,17,82.4864113330841,optimality
