,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
0,2096074,20,5,21,PhISCS_I_,0.05542635917663574,1.0,0.010612726211547852,,,,,
1,2096074,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10525703430175781,1.0,0.06446027755737305,0.0029300126162442293,0.035115957260131836,22,0.014261007308959961,optimality
2,1893586,20,5,26,PhISCS_I_,0.04522538185119629,1.0,0.012858390808105469,,,,,
3,1893586,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1132049560546875,1.0,0.0808267593383789,0.0029935836791992188,0.03875112533569336,27,0.015589237213134766,optimality
4,9517554,20,5,18,PhISCS_I_,0.04114556312561035,1.0,0.008978843688964844,,,,,
5,9517554,20,5,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08246088027954102,1.0,0.05164194107055664,0.0027179968984503496,0.03290748596191406,19,0.009341001510620117,optimality
6,5755715,20,5,29,PhISCS_I_,0.04120898246765137,1.0,0.009329557418823242,,,,,
7,5755715,20,5,29,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12150311470031738,1.0,0.08951306343078613,0.0029837687810262046,0.0406184196472168,30,0.015441656112670898,optimality
8,1323770,20,5,25,PhISCS_I_,0.05165243148803711,1.0,0.01946115493774414,,,,,
9,1323770,20,5,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11521315574645996,1.0,0.08329129219055176,0.00297468900680542,0.037865638732910156,28,0.018973588943481445,optimality
10,4143752,20,5,24,PhISCS_I_,0.04537820816040039,1.0,0.01387333869934082,,,,,
11,4143752,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13100194931030273,1.0,0.07561635971069336,0.0030246543884277343,0.060508012771606445,25,0.016101837158203125,optimality
12,297749,20,5,24,PhISCS_I_,0.06532144546508789,1.0,0.03329968452453613,,,,,
13,297749,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.34986329078674316,1.0,0.3150811195373535,0.001994184300869326,0.05895853042602539,158,0.08638334274291992,optimality
14,1497709,20,5,25,PhISCS_I_,0.041552066802978516,1.0,0.009498119354248047,,,,,
15,1497709,20,5,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10960555076599121,1.0,0.07709217071533203,0.002965083489051232,0.03810906410217285,26,0.01509857177734375,optimality
16,3171799,20,5,16,PhISCS_I_,0.03916597366333008,1.0,0.00830698013305664,,,,,
17,3171799,20,5,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.07730841636657715,1.0,0.04620170593261719,0.0027177474078010112,0.03182673454284668,17,0.009916305541992188,optimality
18,5295298,20,5,21,PhISCS_I_,0.06375932693481445,1.0,0.032422780990600586,,,,,
19,5295298,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11020326614379883,1.0,0.07927203178405762,0.0024772509932518005,0.034699440002441406,32,0.021746158599853516,optimality
20,2244305,20,5,23,PhISCS_I_,0.04365277290344238,1.0,0.012578248977661133,,,,,
21,2244305,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10241031646728516,1.0,0.07157754898071289,0.0029823978741963706,0.03574228286743164,24,0.014534711837768555,optimality
22,4885931,20,5,18,PhISCS_I_,0.03914475440979004,1.0,0.00826883316040039,,,,,
23,4885931,20,5,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08428001403808594,1.0,0.052704811096191406,0.002773937426115337,0.03342413902282715,19,0.010244607925415039,optimality
24,2221561,20,5,23,PhISCS_I_,0.05034661293029785,1.0,0.018480539321899414,,,,,
25,2221561,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10418534278869629,1.0,0.07268524169921875,0.00290740966796875,0.0364842414855957,25,0.015518903732299805,optimality
26,3894281,20,5,23,PhISCS_I_,0.04407763481140137,1.0,0.011662721633911133,,,,,
27,3894281,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10265684127807617,1.0,0.07066798210144043,0.0029444992542266846,0.03689169883728027,24,0.013959169387817383,optimality
28,7812187,20,5,26,PhISCS_I_,0.0633394718170166,1.0,0.0310213565826416,,,,,
29,7812187,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11910200119018555,1.0,0.08701801300048828,0.0022312311025766227,0.0393064022064209,39,0.01830887794494629,optimality
30,8577547,20,5,26,PhISCS_I_,0.06967282295227051,1.0,0.03728652000427246,,,,,
31,8577547,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.44098329544067383,1.0,0.408782958984375,0.0020337460645988804,0.06553936004638672,201,0.11224579811096191,optimality
32,192819,20,5,22,PhISCS_I_,0.041808128356933594,1.0,0.009045124053955078,,,,,
33,192819,20,5,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09922337532043457,1.0,0.06644344329833984,0.0028888453607973847,0.03692150115966797,23,0.012654542922973633,optimality
34,3186477,20,5,19,PhISCS_I_,0.040459394454956055,1.0,0.008412599563598633,,,,,
35,3186477,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08849525451660156,1.0,0.056405067443847656,0.002820253372192383,0.0343785285949707,20,0.012005805969238281,optimality
36,7695771,20,5,17,PhISCS_I_,0.03977775573730469,1.0,0.008191823959350586,,,,,
37,7695771,20,5,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08116340637207031,1.0,0.049517154693603516,0.002750953038533529,0.03295087814331055,18,0.010133028030395508,optimality
38,3236583,20,5,17,PhISCS_I_,0.048825740814208984,1.0,0.016735076904296875,,,,,
39,3236583,20,5,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11448860168457031,1.0,0.051788330078125,0.002877129448784722,0.06410622596740723,18,0.01182699203491211,optimality
40,7809464,20,5,22,PhISCS_I_,0.040903568267822266,1.0,0.008704423904418945,,,,,
41,7809464,20,5,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09690403938293457,1.0,0.06427621841430664,0.002794618191926376,0.036467790603637695,23,0.010668754577636719,optimality
42,9637853,20,5,22,PhISCS_I_,0.04077863693237305,1.0,0.00879359245300293,,,,,
43,9637853,20,5,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09859275817871094,1.0,0.06640148162841797,0.0028870209403659987,0.03608298301696777,23,0.012820243835449219,optimality
44,8269921,20,5,21,PhISCS_I_,0.04147171974182129,1.0,0.009043455123901367,,,,,
45,8269921,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.0964498519897461,1.0,0.06409955024719238,0.0029136159203269267,0.03564858436584473,22,0.013263463973999023,optimality
46,5810512,20,5,21,PhISCS_I_,0.04087376594543457,1.0,0.00885915756225586,,,,,
47,5810512,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09647893905639648,1.0,0.06376981735229492,0.002898628061467951,0.03592801094055176,22,0.01401519775390625,optimality
48,2934854,20,5,24,PhISCS_I_,0.043622493743896484,1.0,0.011603355407714844,,,,,
49,2934854,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10498309135437012,1.0,0.07332420349121094,0.0029329681396484376,0.037262678146362305,25,0.014484643936157227,optimality
50,2973933,20,5,26,PhISCS_I_,0.06718325614929199,1.0,0.03508257865905762,,,,,
51,2973933,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12107276916503906,1.0,0.0894010066986084,0.0027937814593315125,0.03899073600769043,32,0.019056081771850586,optimality
52,7309140,20,5,24,PhISCS_I_,0.049996137619018555,1.0,0.017725706100463867,,,,,
53,7309140,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11159491539001465,1.0,0.07962727546691895,0.003062587517958421,0.03778696060180664,26,0.018069982528686523,optimality
54,4994113,20,5,20,PhISCS_I_,0.04050302505493164,1.0,0.008637428283691406,,,,,
55,4994113,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09247350692749023,1.0,0.06044626235961914,0.0028783934456961496,0.03487825393676758,21,0.012438297271728516,optimality
56,5075771,20,5,24,PhISCS_I_,0.040344953536987305,1.0,0.008951902389526367,,,,,
57,5075771,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10613250732421875,1.0,0.07336544990539551,0.0029346179962158204,0.03800010681152344,25,0.013707399368286133,optimality
58,2200731,20,5,21,PhISCS_I_,0.0403285026550293,1.0,0.008487462997436523,,,,,
59,2200731,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09574675559997559,1.0,0.0635824203491211,0.0028901100158691406,0.035543203353881836,22,0.012659072875976562,optimality
60,3123912,20,5,23,PhISCS_I_,0.06698775291442871,1.0,0.03461885452270508,,,,,
61,3123912,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.14079785346984863,1.0,0.10935616493225098,0.0021871232986450193,0.03813576698303223,50,0.028027057647705078,optimality
62,5719368,20,5,22,PhISCS_I_,0.040680646896362305,1.0,0.00846409797668457,,,,,
63,5719368,20,5,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09829401969909668,1.0,0.06586766242980957,0.0028638114099917207,0.03639578819274902,23,0.012830018997192383,optimality
64,3818583,20,5,20,PhISCS_I_,0.043913841247558594,1.0,0.012310028076171875,,,,,
65,3818583,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09133481979370117,1.0,0.059763431549072266,0.002845877692812965,0.03468775749206543,21,0.011844396591186523,optimality
66,4517130,20,5,23,PhISCS_I_,0.04019975662231445,1.0,0.008503198623657227,,,,,
67,4517130,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10171389579772949,1.0,0.0693516731262207,0.0028896530469258628,0.03696179389953613,24,0.014181137084960938,optimality
68,784835,20,5,25,PhISCS_I_,0.06078910827636719,1.0,0.009163141250610352,,,,,
69,784835,20,5,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10939359664916992,1.0,0.0763249397277832,0.0029355746049147388,0.03874611854553223,26,0.014993906021118164,optimality
70,4385791,20,5,16,PhISCS_I_,0.03988051414489746,1.0,0.008445501327514648,,,,,
71,4385791,20,5,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08029508590698242,1.0,0.0483555793762207,0.0028444458456600413,0.0326840877532959,17,0.011706352233886719,optimality
72,8650402,20,5,27,PhISCS_I_,0.07059764862060547,1.0,0.03792929649353027,,,,,
73,8650402,20,5,27,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.7283134460449219,1.0,0.69561767578125,0.002140362079326923,0.1019594669342041,325,0.17945265769958496,optimality
74,9906688,20,5,21,PhISCS_I_,0.04119086265563965,1.0,0.008928298950195312,,,,,
75,9906688,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09711217880249023,1.0,0.06376147270202637,0.0028982487591830168,0.036329030990600586,22,0.013205528259277344,optimality
76,8882751,20,5,25,PhISCS_I_,0.07047128677368164,1.0,0.03790640830993652,,,,,
77,8882751,20,5,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.5344879627227783,1.0,0.5024192333221436,0.002147090740692921,0.07853031158447266,234,0.12946534156799316,optimality
78,2556533,20,5,24,PhISCS_I_,0.04088854789733887,1.0,0.00889897346496582,,,,,
79,2556533,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10530495643615723,1.0,0.07274746894836426,0.0029098987579345703,0.03779792785644531,25,0.014236927032470703,optimality
80,986717,20,5,23,PhISCS_I_,0.06567740440368652,1.0,0.03372478485107422,,,,,
81,986717,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10499215126037598,1.0,0.0732266902923584,0.0026152389390128,0.03688168525695801,28,0.016048431396484375,optimality
82,9621969,20,5,24,PhISCS_I_,0.04015922546386719,1.0,0.00834035873413086,,,,,
83,9621969,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10439705848693848,1.0,0.07224917411804199,0.0028899669647216796,0.037398338317871094,25,0.01306915283203125,optimality
84,7187431,20,5,26,PhISCS_I_,0.05225634574890137,1.0,0.019236326217651367,,,,,
85,7187431,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11680459976196289,1.0,0.08465003967285156,0.0030232157026018414,0.0389711856842041,28,0.016533374786376953,optimality
86,3728796,20,5,24,PhISCS_I_,0.05929875373840332,1.0,0.02743983268737793,,,,,
87,3728796,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.39338183403015137,1.0,0.3619046211242676,0.002261903882026672,0.0651857852935791,160,0.08645176887512207,optimality
88,5966574,20,5,20,PhISCS_I_,0.04000687599182129,1.0,0.008301258087158203,,,,,
89,5966574,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09126734733581543,1.0,0.05895376205444336,0.002807322002592541,0.03506040573120117,21,0.011339664459228516,optimality
90,4579721,20,5,26,PhISCS_I_,0.07073616981506348,1.0,0.03893399238586426,,,,,
91,4579721,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.931105375289917,1.0,0.8993380069732666,0.0018581363780439393,0.10273122787475586,484,0.25854945182800293,optimality
92,2466016,20,5,24,PhISCS_I_,0.041391849517822266,1.0,0.009161710739135742,,,,,
93,2466016,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10436463356018066,1.0,0.07174301147460938,0.002869720458984375,0.037695884704589844,25,0.012382745742797852,optimality
94,8873279,20,5,21,PhISCS_I_,0.07111430168151855,1.0,0.008817434310913086,,,,,
95,8873279,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09737420082092285,1.0,0.06458187103271484,0.002935539592396129,0.03608202934265137,22,0.014187097549438477,optimality
96,5143768,20,5,24,PhISCS_I_,0.04104447364807129,1.0,0.008860588073730469,,,,,
97,5143768,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10382914543151855,1.0,0.07170224189758301,0.00286808967590332,0.03728151321411133,25,0.012981176376342773,optimality
98,4302163,20,5,15,PhISCS_I_,0.03990578651428223,1.0,0.008135557174682617,,,,,
99,4302163,20,5,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.07605743408203125,1.0,0.04359173774719238,0.002724483609199524,0.032494544982910156,16,0.009712457656860352,optimality
100,3891818,20,5,19,PhISCS_I_,0.03969573974609375,1.0,0.008148193359375,,,,,
101,3891818,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08822989463806152,1.0,0.055936336517333984,0.0027968168258666994,0.034537553787231445,20,0.010890007019042969,optimality
102,8860652,20,5,24,PhISCS_I_,0.06160402297973633,1.0,0.029430150985717773,,,,,
103,8860652,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10800457000732422,1.0,0.0760796070098877,0.0027171288217817035,0.03672313690185547,28,0.017127513885498047,optimality
104,7726942,20,5,19,PhISCS_I_,0.04049491882324219,1.0,0.008410453796386719,,,,,
105,7726942,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08766341209411621,1.0,0.055399417877197266,0.0027699708938598634,0.03438568115234375,20,0.010951519012451172,optimality
106,7032687,20,5,23,PhISCS_I_,0.07029867172241211,1.0,0.03819537162780762,,,,,
107,7032687,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.7200798988342285,1.0,0.6880857944488525,0.0019328252653057656,0.08676791191101074,356,0.19185233116149902,optimality
108,896688,20,5,19,PhISCS_I_,0.04196286201477051,1.0,0.009161949157714844,,,,,
109,896688,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08888101577758789,1.0,0.055852651596069336,0.0027926325798034667,0.035037994384765625,20,0.01130533218383789,optimality
110,698215,20,5,24,PhISCS_I_,0.04500102996826172,1.0,0.013115406036376953,,,,,
111,698215,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10760331153869629,1.0,0.07591128349304199,0.0030364513397216795,0.037084102630615234,25,0.01636528968811035,optimality
112,8221553,20,5,20,PhISCS_I_,0.04552602767944336,1.0,0.012089967727661133,,,,,
113,8221553,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09160828590393066,1.0,0.059713125228881836,0.0028434821537562777,0.034952640533447266,21,0.011388301849365234,optimality
114,314481,20,5,24,PhISCS_I_,0.04336977005004883,1.0,0.011171340942382812,,,,,
115,314481,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10733318328857422,1.0,0.07546758651733398,0.0030187034606933595,0.03735470771789551,25,0.015877485275268555,optimality
116,5883125,20,5,28,PhISCS_I_,0.06904911994934082,1.0,0.037377119064331055,,,,,
117,5883125,20,5,28,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.5342519283294678,1.0,0.5026979446411133,0.0024052533236416903,0.09093546867370605,209,0.11488819122314453,optimality
118,2744653,20,5,20,PhISCS_I_,0.03930854797363281,1.0,0.00778961181640625,,,,,
119,2744653,20,5,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09224319458007812,1.0,0.06043505668640137,0.002877859842209589,0.034410715103149414,21,0.013022661209106445,optimality
120,4574469,20,5,21,PhISCS_I_,0.0666506290435791,1.0,0.03497600555419922,,,,,
121,4574469,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.8458869457244873,1.0,3.784221649169922,0.0017216659004412748,0.40093517303466797,2198,1.0329413414001465,optimality
122,8607451,20,5,24,PhISCS_I_,0.04901003837585449,1.0,0.016144752502441406,,,,,
123,8607451,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10659933090209961,1.0,0.07464122772216797,0.0029856491088867186,0.03748631477355957,25,0.014488935470581055,optimality
124,7600943,20,5,24,PhISCS_I_,0.06969022750854492,1.0,0.0378265380859375,,,,,
125,7600943,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.38685083389282227,1.0,0.35559916496276855,0.0019865875137584834,0.0581667423248291,179,0.09662103652954102,optimality
126,3729892,20,5,26,PhISCS_I_,0.06798601150512695,1.0,0.03486967086791992,,,,,
127,3729892,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22698521614074707,1.0,0.19470500946044922,0.002561908019216437,0.0520777702331543,76,0.04201078414916992,optimality
128,9640697,20,5,26,PhISCS_I_,0.06937956809997559,1.0,0.03617048263549805,,,,,
129,9640697,20,5,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11825680732727051,1.0,0.08595776557922363,0.0027728311477168916,0.0391542911529541,31,0.018083810806274414,optimality
130,1027511,20,5,23,PhISCS_I_,0.06614160537719727,1.0,0.03361058235168457,,,,,
131,1027511,20,5,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.13187384605407715,1.0,0.10005021095275879,0.002326749091924623,0.03810882568359375,43,0.02453160285949707,optimality
132,3404736,20,5,19,PhISCS_I_,0.039928436279296875,1.0,0.008007526397705078,,,,,
133,3404736,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08787012100219727,1.0,0.05644845962524414,0.002822422981262207,0.033748626708984375,20,0.011720657348632812,optimality
134,2985081,20,5,16,PhISCS_I_,0.03975391387939453,1.0,0.007964134216308594,,,,,
135,2985081,20,5,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.07827925682067871,1.0,0.046147823333740234,0.0027145778431611903,0.0326693058013916,17,0.009822845458984375,optimality
136,9508332,20,5,19,PhISCS_I_,0.0424044132232666,1.0,0.010585546493530273,,,,,
137,9508332,20,5,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08859801292419434,1.0,0.05707907676696777,0.0028539538383483888,0.03411364555358887,20,0.011884689331054688,optimality
138,41348,20,5,22,PhISCS_I_,0.039893388748168945,1.0,0.008218050003051758,,,,,
139,41348,20,5,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.0963449478149414,1.0,0.06476044654846191,0.0028156715890635614,0.0354764461517334,23,0.011726856231689453,optimality
140,4413135,20,5,21,PhISCS_I_,0.049898624420166016,1.0,0.017536163330078125,,,,,
141,4413135,20,5,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.09889936447143555,1.0,0.06757020950317383,0.002815425395965576,0.035138845443725586,24,0.014527082443237305,optimality
142,5770867,20,5,30,PhISCS_I_,0.07253551483154297,1.0,0.03979134559631348,,,,,
143,5770867,20,5,30,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,1.4097645282745361,1.0,1.3781588077545166,0.001985819607715442,0.1754474639892578,694,0.3725292682647705,optimality
144,3374499,20,5,24,PhISCS_I_,0.044651031494140625,1.0,0.011921882629394531,,,,,
145,3374499,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10854268074035645,1.0,0.07491326332092285,0.002996530532836914,0.03869271278381348,25,0.015082120895385742,optimality
146,859187,20,5,24,PhISCS_I_,0.03989982604980469,1.0,0.008322715759277344,,,,,
147,859187,20,5,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1359996795654297,1.0,0.07319140434265137,0.0029276561737060546,0.0675811767578125,25,0.014605522155761719,optimality
148,59856,20,5,18,PhISCS_I_,0.03995823860168457,1.0,0.00816655158996582,,,,,
149,59856,20,5,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.08410859107971191,1.0,0.0522310733795166,0.002749003862079821,0.033466339111328125,19,0.011171340942382812,optimality
150,3003866,20,5,20,PhISCS_I_,0.04011106491088867,1.0,0.008306264877319336,,,,,
