,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
0,1140028,25,4,23,PhISCS_I_,0.04371809959411621,1.0,0.010108232498168945,,,,,
1,1140028,25,4,23,PhISCS_B_,0.01325225830078125,1.0,0.0041539669036865234,,,,,
2,1140028,25,4,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.20186948776245117,1.0,0.17455387115478516,0.007273077964782715,0.03357052803039551,24,0.1101691722869873,optimality
3,1140028,25,4,23,BnB_DynamicMWMBounding_None_False,60.00416851043701,1.0,60.00285792350769,0.0025401260656806235,,23622,,time_limit
4,1525680,25,4,24,PhISCS_I_,0.03832840919494629,1.0,0.01563739776611328,,,,,
5,1525680,25,4,24,PhISCS_B_,0.012639045715332031,1.0,0.005030393600463867,,,,,
6,1525680,25,4,24,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.21405839920043945,1.0,0.19141244888305664,0.007362017264732948,0.03676462173461914,26,0.12176179885864258,optimality
7,1525680,25,4,26,BnB_DynamicMWMBounding_None_False,60.00563597679138,1.0,60.00436472892761,0.0026572943947977333,,22581,,time_limit
8,9796822,25,4,23,PhISCS_I_,0.04956984519958496,1.0,0.027017593383789062,,,,,
9,9796822,25,4,23,PhISCS_B_,0.01210165023803711,1.0,0.004799604415893555,,,,,
10,9796822,25,4,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.20961785316467285,1.0,0.1876530647277832,0.0064707953354408,0.03525829315185547,29,0.11802053451538086,optimality
11,9796822,25,4,23,BnB_DynamicMWMBounding_None_False,60.00184965133667,1.0,60.00064420700073,0.002625389175067854,,22854,,time_limit
12,3723035,25,4,19,PhISCS_I_,0.03780031204223633,1.0,0.015274763107299805,,,,,
13,3723035,25,4,19,PhISCS_B_,0.010792255401611328,1.0,0.0032744407653808594,,,,,
14,3723035,25,4,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.18218350410461426,1.0,0.15985679626464844,0.0076122283935546875,0.03122258186340332,21,0.10059857368469238,optimality
15,3723035,25,4,19,BnB_DynamicMWMBounding_None_False,60.00592517852783,1.0,60.004045486450195,0.002564713860764669,,23396,,time_limit
16,4477031,25,4,18,PhISCS_I_,0.0303497314453125,1.0,0.007156848907470703,,,,,
17,4477031,25,4,18,PhISCS_B_,0.011261940002441406,1.0,0.0030422210693359375,,,,,
18,4477031,25,4,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.152252197265625,1.0,0.12998032569885254,0.006841069773623818,0.029758214950561523,19,0.08144783973693848,optimality
