,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
0,4786021,3,33,8,PhISCS_I_,0.364471435546875,1.0,0.18601274490356445,,,,,
1,4786021,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5743837356567383,1.0,0.36647915840148926,0.036647915840148926,0.17628693580627441,10,0.37424325942993164,optimality
2,4786021,3,33,8,BnB_DynamicMWMBounding_None_False,0.27272486686706543,1.0,0.2615082263946533,0.018679159028189524,,14,,optimality
3,892861,3,33,7,PhISCS_I_,0.24003100395202637,1.0,0.07221817970275879,,,,,
4,892861,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.43692731857299805,1.0,0.2548530101776123,0.03185662627220154,0.15842986106872559,8,0.2628896236419678,optimality
5,892861,3,33,7,BnB_DynamicMWMBounding_None_False,0.16501617431640625,1.0,0.15503168106079102,0.019378960132598877,,8,,optimality
6,1673701,3,33,4,PhISCS_I_,0.27138185501098633,1.0,0.06649303436279297,,,,,
7,1673701,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.3397834300994873,1.0,0.16400694847106934,0.03280138969421387,0.15264558792114258,5,0.17821311950683594,optimality
8,1673701,3,33,4,BnB_DynamicMWMBounding_None_False,0.07320380210876465,1.0,0.06436848640441895,0.012873697280883788,,5,,optimality
9,62296,3,33,7,PhISCS_I_,0.3280766010284424,1.0,0.16170883178710938,,,,,
10,62296,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5590932369232178,1.0,0.3356661796569824,0.0419582724571228,0.19619369506835938,8,0.3481886386871338,optimality
11,62296,3,33,7,BnB_DynamicMWMBounding_None_False,0.16724944114685059,1.0,0.15708470344543457,0.01745385593838162,,9,,optimality
12,7479404,3,33,7,PhISCS_I_,0.5105102062225342,1.0,0.34609150886535645,,,,,
