hash,n,m,k,t,n_flips,runtime,file_name,internal_time,num_ones_noisy,num_zeros_noisy,Experiment_File  Name
4243123,20,40,None,120,11,2.257130623,simNo_10-s_10-m_40-n_20-k_21.SC.noisy,0.555035591,194,606,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4209768,20,40,None,120,24,2.272041082,simNo_10-s_10-m_40-n_20-k_43.SC.noisy,0.568828106,172,628,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9684746,40,40,None,120,14,4.679531097,simNo_10-s_10-m_40-n_40-k_18.SC.noisy,1.281101227,345,1255,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5739815,40,40,None,120,26,5.243500471,simNo_10-s_10-m_40-n_40-k_36.SC.noisy,1.849474430,327,1273,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4616542,40,40,None,120,53,5.530859947,simNo_10-s_10-m_40-n_40-k_72.SC.noisy,2.052582502,291,1309,"cmp_algs_None,None,1_11-14-20-44-39.csv"
44504,80,40,None,120,115,14.529976130,simNo_10-s_10-m_40-n_80-k_149.SC.noisy,7.785966158,596,2604,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2402979,80,40,None,120,24,10.872049332,simNo_10-s_10-m_40-n_80-k_37.SC.noisy,4.178917885,708,2492,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8834553,80,40,None,120,56,15.729247332,simNo_10-s_10-m_40-n_80-k_74.SC.noisy,8.979126930,671,2529,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5535333,20,80,None,120,12,10.100204229,simNo_10-s_10-m_80-n_20-k_18.SC.noisy,3.213155031,347,1253,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1060902,20,80,None,120,27,10.017598629,simNo_10-s_10-m_80-n_20-k_36.SC.noisy,3.222258806,329,1271,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5770424,20,80,None,120,50,11.413674116,simNo_10-s_10-m_80-n_20-k_73.SC.noisy,4.489976883,292,1308,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9294024,40,80,None,120,132,26.427801609,simNo_10-s_10-m_80-n_40-k_161.SC.noisy,12.880233288,647,2553,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1483020,40,80,None,120,27,23.233085871,simNo_10-s_10-m_80-n_40-k_40.SC.noisy,9.745627403,768,2432,"cmp_algs_None,None,1_11-14-20-44-39.csv"
244629,40,80,None,120,58,23.493996143,simNo_10-s_10-m_80-n_40-k_80.SC.noisy,9.945514202,728,2472,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6616147,80,80,None,120,125,54.972043991,simNo_10-s_10-m_80-n_80-k_156.SC.noisy,28.042275190,1405,4995,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4938868,80,80,None,120,257,105.033679724,simNo_10-s_10-m_80-n_80-k_312.SC.noisy,78.189616442,1249,5151,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4835383,80,80,None,120,59,48.271922827,simNo_10-s_10-m_80-n_80-k_78.SC.noisy,21.419182301,1483,4917,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2025743,20,20,None,120,4,0.605912685,simNo_2-s_10-m_20-n_20-k_13.SC.noisy,0.190217018,54,346,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2932562,20,20,None,120,1,0.544667959,simNo_2-s_10-m_20-n_20-k_3.SC.noisy,0.127838612,64,336,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8516552,20,20,None,120,3,0.544589758,simNo_2-s_10-m_20-n_20-k_6.SC.noisy,0.127070427,61,339,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1600850,40,20,None,120,2,1.089262009,simNo_2-s_10-m_20-n_40-k_12.SC.noisy,0.262796402,110,690,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7283662,40,20,None,120,7,1.094483137,simNo_2-s_10-m_20-n_40-k_24.SC.noisy,0.266357183,98,702,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3506998,40,20,None,120,3,1.089259863,simNo_2-s_10-m_20-n_40-k_6.SC.noisy,0.264930487,116,684,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3137147,80,20,None,120,4,2.449639082,simNo_2-s_10-m_20-n_80-k_11.SC.noisy,0.796754360,213,1387,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3788339,80,20,None,120,10,2.545074463,simNo_2-s_10-m_20-n_80-k_22.SC.noisy,0.858166456,202,1398,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4197034,80,20,None,120,21,2.257781267,simNo_2-s_10-m_20-n_80-k_44.SC.noisy,0.548412323,180,1420,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3704271,20,40,None,120,5,2.265233994,simNo_2-s_10-m_40-n_20-k_10.SC.noisy,0.560097218,203,597,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9271494,20,40,None,120,16,2.277259827,simNo_2-s_10-m_40-n_20-k_21.SC.noisy,0.567434072,192,608,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2516824,20,40,None,120,28,2.269705296,simNo_2-s_10-m_40-n_20-k_42.SC.noisy,0.567614794,171,629,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9457681,40,40,None,120,13,4.655947924,simNo_2-s_10-m_40-n_40-k_20.SC.noisy,1.281162977,387,1213,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6864499,40,40,None,120,29,4.715519905,simNo_2-s_10-m_40-n_40-k_40.SC.noisy,1.303857327,367,1233,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8193186,40,40,None,120,56,5.489554644,simNo_2-s_10-m_40-n_40-k_81.SC.noisy,2.073900461,326,1274,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9076291,80,40,None,120,134,14.455472946,simNo_2-s_10-m_40-n_80-k_167.SC.noisy,7.662082672,671,2529,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1913410,80,40,None,120,32,11.148414850,simNo_2-s_10-m_40-n_80-k_41.SC.noisy,4.433065891,797,2403,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9939793,80,40,None,120,65,10.477021217,simNo_2-s_10-m_40-n_80-k_83.SC.noisy,3.703143358,755,2445,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8941614,20,80,None,120,15,10.220436096,simNo_2-s_10-m_80-n_20-k_21.SC.noisy,3.285203934,414,1186,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4658070,20,80,None,120,29,13.556597948,simNo_2-s_10-m_80-n_20-k_43.SC.noisy,6.697410822,392,1208,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6437265,20,80,None,120,60,33.724160194,simNo_2-s_10-m_80-n_20-k_87.SC.noisy,26.890534163,348,1252,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2959577,40,80,None,120,113,41.552523613,simNo_2-s_10-m_80-n_40-k_152.SC.noisy,28.010862589,611,2589,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5708623,40,80,None,120,26,22.767980814,simNo_2-s_10-m_80-n_40-k_38.SC.noisy,9.235284328,725,2475,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7332250,40,80,None,120,55,43.212879896,simNo_2-s_10-m_80-n_40-k_76.SC.noisy,29.795374393,687,2513,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6776552,80,80,None,120,115,105.182939529,simNo_2-s_10-m_80-n_80-k_146.SC.noisy,78.333568096,1318,5082,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3948335,80,80,None,120,58,52.090358496,simNo_2-s_10-m_80-n_80-k_73.SC.noisy,25.501894236,1391,5009,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1555937,20,20,None,120,1,0.542701721,simNo_3-s_10-m_20-n_20-k_14.SC.noisy,0.126579762,56,344,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1568943,20,20,None,120,2,0.545471191,simNo_3-s_10-m_20-n_20-k_3.SC.noisy,0.128042936,67,333,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8746969,20,20,None,120,2,0.544165850,simNo_3-s_10-m_20-n_20-k_7.SC.noisy,0.128384113,63,337,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3116810,40,20,None,120,11,1.091030598,simNo_3-s_10-m_20-n_40-k_16.SC.noisy,0.263907671,148,652,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3940776,40,20,None,120,18,1.118544102,simNo_3-s_10-m_20-n_40-k_32.SC.noisy,0.267071486,132,668,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2713050,40,20,None,120,5,1.115174532,simNo_3-s_10-m_20-n_40-k_8.SC.noisy,0.265820265,156,644,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7114306,80,20,None,120,8,2.299492121,simNo_3-s_10-m_20-n_80-k_16.SC.noisy,0.612343311,306,1294,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4217524,80,20,None,120,20,2.270905495,simNo_3-s_10-m_20-n_80-k_32.SC.noisy,0.541229963,290,1310,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5504807,80,20,None,120,34,2.241960049,simNo_3-s_10-m_20-n_80-k_64.SC.noisy,0.538926363,258,1342,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6032370,20,40,None,120,1,2.265504360,simNo_3-s_10-m_40-n_20-k_12.SC.noisy,0.551297426,109,691,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4617792,20,40,None,120,10,2.529984236,simNo_3-s_10-m_40-n_20-k_24.SC.noisy,0.821576595,97,703,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9596136,20,40,None,120,2,2.256934643,simNo_3-s_10-m_40-n_20-k_6.SC.noisy,0.552535772,115,685,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3975729,40,40,None,120,8,4.667300224,simNo_3-s_10-m_40-n_40-k_11.SC.noisy,1.291092396,227,1373,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6119150,40,40,None,120,13,4.692076206,simNo_3-s_10-m_40-n_40-k_23.SC.noisy,1.296060085,215,1385,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6418354,40,40,None,120,26,4.732442856,simNo_3-s_10-m_40-n_40-k_47.SC.noisy,1.328959703,191,1409,"cmp_algs_None,None,1_11-14-20-44-39.csv"
